fileName,(c)TP_difference_percent,(c)mean,(c)sd,(c)LL,(c)UL,(20%SLOC)TP_difference_percent,(20%SLOC)mean,(20%SLOC)sd,(20%SLOC)LL,(20%SLOC)UL,(10%)TP_difference_percent,(10%)mean,(10%)sd,(10%)LL,(10%)UL,(20%)TP_difference_percent,(20%)mean,(20%)sd,(20%)LL,(20%)UL,(30%)TP_difference_percent,(30%)mean,(30%)sd,(30%)LL,(30%)UL,IL/Ins
activemq-5.2.0(5.1.0).csv,0.3,0.3,0.464095480892257,0.15,0.425,0.21311475409836064,0.21311475409836064,0.4129065309227846,0.11475409836065575,0.3114754098360656,0.15476190476190474,0.15476190476190474,0.36384981739119415,0.07142857142857142,0.2261904761904762,0.10309278350515463,0.10309278350515463,0.30565967194176336,0.045110407335463454,0.16494845360824742,0.04716981132075472,0.04716981132075472,0.2130090752235292,0.009433962264150943,0.08490566037735849,0.1431472081218274
"activemq-5.3.0(5.2.0,5.1.0).csv",0.125,0.125,0.3342186823915959,0.04166666666666666,0.20833333333333331,0.175,0.175,0.3823643964146891,0.0875,0.25,0.19327731092436976,0.19327731092436976,0.396538217628724,0.1176470588235294,0.2605042016806723,0.2152777777777778,0.2152777777777778,0.4124495212927367,0.14583333333333334,0.2777777777777778,0.19863013698630136,0.19863013698630136,0.4003423192753168,0.13013698630136986,0.2602739726027397,0.13815461346633418
"activemq-5.2.0(5.1.0,5.0.0).csv",0.3043478260869565,0.3043478260869565,0.4652151338606117,0.15217391304347827,0.43478260869565216,0.2380952380952381,0.2380952380952381,0.42933879074109177,0.12698412698412698,0.3336388159617337,0.16853932584269662,0.16853932584269662,0.3764654715598937,0.0898876404494382,0.24719101123595505,0.0673076923076923,0.0673076923076923,0.25176746386811777,0.019230769230769232,0.1153846153846154,0.037383177570093455,0.037383177570093455,0.19059161343186776,0.009345794392523364,0.07476635514018691,0.13362740010378826
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0.5135135135135135,0.5135135135135135,0.5032291137352586,0.37262442867712015,0.6081081081081081,0.45,0.45,0.5006325113218328,0.325,0.55,0.3253968253968254,0.3253968253968254,0.4703932836147231,0.2380952380952381,0.4047619047619048,0.4110429447852761,0.4110429447852761,0.493539263197165,0.3312883435582822,0.4785276073619632,0.3942857142857143,0.3942857142857143,0.4900990148275911,0.3142857142857143,0.4628571428571429,0.1335256192738378
activemq-5.3.0(5.2.0).csv,0.16666666666666666,0.16666666666666666,0.37509017674772654,0.08974358974358974,0.2435897435897436,0.13333333333333333,0.13333333333333333,0.3422237822202266,0.05333333333333334,0.21333333333333332,0.30612244897959184,0.30612244897959184,0.4632508007972588,0.21428571428571427,0.3877551020408163,0.4827586206896552,0.4827586206896552,0.5014347231785962,0.3912376351703556,0.5517241379310345,0.4503311258278146,0.4503311258278146,0.4991825547413064,0.3642384105960265,0.5165562913907285,0.13333333333333333
derby-10.5.1.1(10.3.1.4).csv,0.6023391812865497,0.6023391812865497,0.49085198636108207,0.5263157894736842,0.6677815681490583,0.4698795180722892,0.4698795180722892,0.5021259534339566,0.3614457831325301,0.5783132530120482,0.3446327683615819,0.3446327683615819,0.4765966057390167,0.2711864406779661,0.4124293785310734,0.33064516129032256,0.33064516129032256,0.47139682508173497,0.2661290322580645,0.3899451913465525,0.297029702970297,0.297029702970297,0.4577056470917885,0.2475247524752475,0.3512208968941983,0.13327289211242066
activemq-5.1.0(5.0.0).csv,0.3235294117647059,0.3235294117647059,0.474858079933817,0.14705882352941174,0.4705882352941176,0.3333333333333333,0.3333333333333333,0.4758309514308865,0.2037037037037037,0.4444444444444444,0.26582278481012656,0.26582278481012656,0.44459318078134497,0.16455696202531644,0.35443037974683544,0.1978021978021978,0.1978021978021978,0.4005490736970446,0.10989010989010987,0.27472527472527475,0.19791666666666666,0.19791666666666666,0.40052049468993056,0.11458333333333333,0.2708333333333333,0.12367303609341826
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.3902439024390244,0.3902439024390244,0.4908067825548735,0.27988018658728736,0.4878048780487805,0.42857142857142855,0.42857142857142855,0.4984447862792269,0.3,0.5285714285714286,0.3445378151260504,0.3445378151260504,0.4772267128130031,0.25210084033613445,0.42857142857142855,0.28125,0.28125,0.4510208546406194,0.20625,0.34375,0.26744186046511625,0.26744186046511625,0.4439171358492618,0.19767441860465115,0.3313953488372093,0.11584553928095873
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.136986301369863,0.136986301369863,0.3462123823589072,0.0547945205479452,0.2191780821917808,0.0576923076923077,0.0576923076923077,0.2354354778987094,0.0,0.1346153846153846,0.14018691588785046,0.14018691588785046,0.3488146540013175,0.07476635514018691,0.20560747663551399,0.14184397163120568,0.14184397163120568,0.35013385774357675,0.0851063829787234,0.19858156028368795,0.15294117647058825,0.15294117647058825,0.360994102557712,0.09456770373273267,0.2058823529411765,0.11353300925199937
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.6594594594594595,0.6594594594594595,0.4751770033249049,0.5891891891891892,0.7189189189189189,0.5544554455445545,0.5544554455445545,0.4995047051780889,0.4325001561332997,0.6428379656448292,0.4324324324324325,0.4324324324324325,0.4967579970549774,0.3567567567567568,0.5027027027027027,0.3690476190476191,0.3690476190476191,0.4835071551054164,0.3055555555555556,0.42857142857142855,0.3344262295081967,0.3344262295081967,0.4725648263457866,0.2754098360655738,0.38688524590163936,0.11225713600383785
