fileName,(c)TP_difference_percent,(c)mean,(c)sd,(c)LL,(c)UL,(20%SLOC)TP_difference_percent,(20%SLOC)mean,(20%SLOC)sd,(20%SLOC)LL,(20%SLOC)UL,(10%)TP_difference_percent,(10%)mean,(10%)sd,(10%)LL,(10%)UL,(20%)TP_difference_percent,(20%)mean,(20%)sd,(20%)LL,(20%)UL,(30%)TP_difference_percent,(30%)mean,(30%)sd,(30%)LL,(30%)UL,IL/Ins
flume-1.3.1(1.3.0).csv,0.3333333333333333,0.3333333333333333,0.4794633014853841,0.13333333333333333,0.4666666666666667,0.4736842105263158,0.4736842105263158,0.5129891760425771,0.21052631578947367,0.631578947368421,0.45,0.45,0.5104177855340404,0.2,0.6,0.25,0.25,0.4423258684646914,0.08333333333333333,0.375,0.1935483870967742,0.1935483870967742,0.4016096644512495,0.06451612903225806,0.3225806451612903,0.24324324324324326
"flume-1.4.0(1.3.1,1.3.0).csv",0.12903225806451613,0.12903225806451613,0.33797230305290266,0.04838709677419355,0.2258064516129032,0.28,0.28,0.4582575694955841,0.08,0.44,0.3333333333333333,0.3333333333333333,0.4787135538781691,0.15151515151515152,0.4848484848484849,0.18867924528301888,0.18867924528301888,0.3949977494378391,0.09433962264150944,0.2830188679245283,0.12698412698412698,0.12698412698412698,0.3356295717325919,0.047619047619047616,0.2222222222222222,0.242914979757085
flume-1.4.0(1.3.1).csv,0.2058823529411765,0.2058823529411765,0.4073512375440994,0.10294117647058824,0.29411764705882354,0.16,0.16,0.3741657386773941,0.04,0.32,0.28125,0.28125,0.4568034093991744,0.09375,0.40625,0.14814814814814814,0.14814814814814814,0.3585825031987472,0.05555555555555555,0.24074074074074076,0.078125,0.078125,0.270489708750042,0.015625,0.15625,0.24258760107816713
"flume-1.4.0(1.3.1,1.3.0,1.2.0).csv",0.049180327868852465,0.049180327868852465,0.21803894974650145,0.0,0.09836065573770493,0.17391304347826084,0.17391304347826084,0.3875533878815898,0.0,0.3043478260869565,0.21875,0.21875,0.4200134406451545,0.0625,0.34375,0.06,0.06,0.23989793748209526,0.0,0.12,0.032786885245901634,0.032786885245901634,0.1795562228341584,0.0,0.08196721311475409,0.21915103652517276
"flume-1.3.1(1.3.0,1.2.0).csv",0.2571428571428571,0.2571428571428571,0.4434395736311599,0.11428571428571427,0.4,0.4117647058823529,0.4117647058823529,0.5072996561958923,0.17647058823529413,0.5882352941176471,0.42857142857142855,0.42857142857142855,0.5070925528371099,0.19047619047619047,0.6190476190476191,0.32142857142857145,0.32142857142857145,0.4755948656056709,0.14285714285714285,0.4642857142857143,0.25,0.25,0.4399413450640599,0.09375,0.375,0.205607476635514
"flume-1.5.0(1.4.0,1.3.1,1.3.0).csv",0.031746031746031744,0.031746031746031744,0.1767314317713022,0.0,0.07936507936507936,0.1111111111111111,0.1111111111111111,0.3233808333817773,0.0,0.2777777777777778,0.17857142857142858,0.17857142857142858,0.39002102778747977,0.03571428571428571,0.2857142857142857,0.061224489795918366,0.061224489795918366,0.24222607082590245,0.0,0.12244897959183673,0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.19597989949748743
"flume-1.5.0(1.4.0,1.3.1,1.3.0,1.2.0).csv",0.046875,0.046875,0.21304202581158665,0.0,0.109375,0.25,0.25,0.4442616583193193,0.05,0.4,0.17857142857142858,0.17857142857142858,0.39002102778747977,0.03571428571428571,0.2857142857142857,0.04166666666666666,0.04166666666666666,0.20194093652345887,0.0,0.10416666666666667,0.03125,0.03125,0.17536809360305042,0.0,0.078125,0.1882673942701228
"flume-1.5.0(1.4.0,1.3.1).csv",0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.25,0.25,0.4442616583193193,0.05,0.4,0.1111111111111111,0.1111111111111111,0.32025630761017426,0.0,0.2222222222222222,0.040816326530612235,0.040816326530612235,0.199914947901746,0.0,0.1020408163265306,0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.17475728155339806
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0).csv",0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.05263157894736842,0.05263157894736842,0.22941573387056174,0.0,0.15789473684210525,0.17857142857142858,0.17857142857142858,0.39002102778747977,0.03571428571428571,0.2857142857142857,0.08,0.08,0.2740475156178697,0.02,0.16,0.015625,0.015625,0.125,0.0,0.046875,0.1668646080760095
"flume-1.5.1(1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.10526315789473684,0.3153017676423058,0.0,0.2631578947368421,0.1724137931034483,0.1724137931034483,0.3844258722192447,0.03448275862068965,0.3103448275862069,0.08,0.08,0.2740475156178697,0.02,0.16,0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.16513292433537832
flume-1.3.0(1.2.0).csv,0.3,0.3,0.4701623459816272,0.1,0.45,0.4545454545454545,0.4545454545454545,0.5222329678670934,0.09090909090909093,0.6363636363636364,0.4166666666666667,0.4166666666666667,0.5149286505444373,0.08333333333333333,0.6666666666666666,0.4444444444444444,0.4444444444444444,0.5113099925649136,0.16666666666666666,0.6111111111111112,0.42857142857142855,0.42857142857142855,0.5070925528371099,0.19047619047619047,0.6190476190476191,0.15441176470588236
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0.061538461538461535,0.061538461538461535,0.2421855614066333,0.015384615384615384,0.12307692307692307,0.2,0.2,0.4103913408340617,0.03902026416364316,0.35,0.038461538461538464,0.038461538461538464,0.196116135138184,0.0,0.1153846153846154,0.0784313725490196,0.0784313725490196,0.2715243823233531,0.0196078431372549,0.1568627450980392,0.015873015873015872,0.015873015873015872,0.12598815766974242,0.0,0.047619047619047616,0.151676206050695
"flume-1.5.2(1.5.1,1.5.0,1.4.0,1.3.1,1.3.0).csv",0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.3585685828003181,0.0,0.2857142857142857,0.1111111111111111,0.1111111111111111,0.32025630761017426,0.0,0.2222222222222222,0.0784313725490196,0.0784313725490196,0.2715243823233531,0.0196078431372549,0.1568627450980392,0.03125,0.03125,0.17536809360305042,0.0,0.078125,0.15133394664213431
"flume-1.5.1(1.5.0,1.4.0,1.3.1).csv",0.1973684210526316,0.1973684210526316,0.4006573545930158,0.11842105263157895,0.2894736842105263,0.2,0.2,0.4103913408340617,0.03902026416364316,0.35,0.14814814814814814,0.14814814814814814,0.3620139928982457,0.037037037037037035,0.2962962962962963,0.1153846153846154,0.1153846153846154,0.3226025390322358,0.038461538461538464,0.19230769230769232,0.060606060606060615,0.060606060606060615,0.2404347267115501,0.015151515151515154,0.12121212121212123,0.14535768645357686
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1,1.3.0,1.2.0).csv",0.017543859649122806,0.017543859649122806,0.13245323570650436,0.0,0.05263157894736842,0.3,0.3,0.4701623459816272,0.1,0.45,0.15384615384615385,0.15384615384615385,0.36794648440312,0.038461538461538464,0.28245412503734224,0.05882352941176471,0.05882352941176471,0.23763541031440186,0.0,0.1176470588235294,0.03448275862068965,0.03448275862068965,0.18405922400991945,0.0,0.08620689655172414,0.14305177111716622
