"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","14.82","1.75","3.26","9.84","9.75","6.18","108.33","19.62","12.75"
"ECLIPSE-2007","12.69","1.77","2.96","7.69","8.33","8.19","166.46","7.63","15.12"
"ECLIPSE-2007","[0.73,23.03]","[0.33,2.88]","[1.08,5.11]","[3.76,14.75]","[1.82,15.28]","[0.04,11.33]","[0,208.33]","[10.95,24.4]","[2.57,21.94]"
"Metrics-Repo-2010","9.97","6.18","16.81","26.6","25.81","11.15","35.82","191.73","35.87"
"Metrics-Repo-2010","9.47","6.91","20.93","26.21","27.32","17.52","121.46","585.57","57.7"
"Metrics-Repo-2010","[7.67,12.51]","[4.63,8.21]","[12.36,23.98]","[20.65,34.7]","[20.36,35.26]","[7.84,16.96]","[17.25,104.39]","[95.26,472.24]","[24.7,58.68]"
"JIRA-HA-2019","13.62","4.66","8.58","45.86","19.06","13.52","69.27","67.9","52.61"
"JIRA-HA-2019","27.83","5.83","15.79","154.98","43.04","14.81","200.14","121.76","163.66"
"JIRA-HA-2019","[8.34,28.18]","[3.23,7.05]","[5.17,17.57]","[19.62,168.8]","[11.03,45.22]","[9.57,19.08]","[31.58,230.68]","[38.61,122.34]","[24.34,182.44]"
"JIRA-RA-2019","9.29","7.84","6.19","20.84","12.53","12.96","48.19","46.46","19.7"
"JIRA-RA-2019","10.7","15.34","15.45","28.05","15.28","16","97.46","57.9","22.34"
"JIRA-RA-2019","[6.95,14.51]","[4.28,14.25]","[3.36,14.99]","[14.57,32.36]","[9.5,19.92]","[9.55,19.9]","[27.43,98.71]","[31.71,67.73]","[14.51,29.65]"
"MA-SZZ-2020","14.24","4.12","5.62","21.75","16.06","12.06","12.87","255.19","17.47"
"MA-SZZ-2020","16.66","9.56","11.14","27.93","19.58","16.16","41.58","1872.94","25.01"
"MA-SZZ-2020","[12.12,16.83]","[3.17,6.08]","[4.58,7.92]","[18.4,26.28]","[13.6,18.99]","[10.13,14.76]","[7.88,20.17]","[80.4,645.04]","[14.55,22.16]"
"IND-JLMIV+R-2020","12.44","1.86","3.06","18.5","12.5","17.16","55.16","107.18","17.52"
"IND-JLMIV+R-2020","16.07","2.99","5.21","29.11","24.2","20.13","153.73","399.35","20"
"IND-JLMIV+R-2020","[11.03,14.97]","[1.59,2.29]","[2.63,3.99]","[16.31,24.71]","[10.77,18.48]","[15.14,19.68]","[42.2,81]","[76.57,187.09]","[15.65,20.29]"
