"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","110.58","48.15","112.27","172.99","16.89","145.95","90.4","138.94"
"Metrics-Repo-2010","175.19","139.4","452.78","650.7","20.08","320.81","202.46","365.06"
"Metrics-Repo-2010","75.11","23.33","26.82","37.79","12.19","79.23","52.85","69.57"
"Metrics-Repo-2010","216.52","140.04","442.83","632.32","25.97","309.66","237.15","374.71"
"JIRA-HA-2019","18.98","9.03","3.7","12.44","8.81","73.4","319.62","69.5"
"JIRA-HA-2019","19.23","10.11","5.8","14.81","8.88","281.74","1539.49","126.96"
"JIRA-HA-2019","13.49","6.16","2.39","8.96","6.16","16","39.47","41.27"
"JIRA-HA-2019","27.72","13.32","7.5","20.73","12.86","312.29","1150.01","137.62"
"JIRA-RA-2019","20.53","5.34","3.94","15.12","7.75","61.89","180.44","163.15"
"JIRA-RA-2019","30.24","5.98","5.79","26.33","6.89","146.95","637.56","589.94"
"JIRA-RA-2019","12.5","3.61","2.48","9.32","5.83","21.52","33.38","36.56"
"JIRA-RA-2019","34.98","7.71","7.26","34.46","10.53","126.71","498.9","630.83"
"MA-SZZ-2020","63.46","16.19","375.88","187.85","17.8","1339.67","106.58","212.17"
"MA-SZZ-2020","120.63","11.44","1611.33","715.31","17.52","6175.74","136.8","407.7"
"MA-SZZ-2020","43.55","13.6","105.04","65.2","13.33","223.94","75.32","125.36"
"MA-SZZ-2020","132.47","20.5","1481.64","673.5","23.42","5315.98","152.61","374.46"
