issueKey,type,createdDateEpoch,resolvedDateEpoch
FLINK-10101,Bug,2018-08-08 18:53:28,2018-08-16 18:37:31
FLINK-10102,Improvement,2018-08-08 19:28:54,2018-08-08 20:07:50
FLINK-10103,Improvement,2018-08-08 22:52:36,2018-08-08 23:19:32
FLINK-10104,Bug,2018-08-09 03:47:30,2019-02-28 23:37:19
FLINK-10105,Bug,2018-08-09 11:44:00,2018-08-10 23:28:46
FLINK-10106,Improvement,2018-08-09 15:53:56,
FLINK-10107,Bug,2018-08-09 16:37:39,
FLINK-10108,Bug,2018-08-09 17:05:29,2018-08-09 19:12:25
FLINK-10109,Sub-task,2018-08-09 17:29:32,2018-08-14 17:45:59
FLINK-10110,Improvement,2018-08-09 17:34:00,2018-08-16 03:28:38
FLINK-10111,Bug,2018-08-09 19:17:57,2018-09-27 15:31:48
FLINK-10112,Bug,2018-08-09 20:46:25,2018-08-09 21:12:52
FLINK-10113,Improvement,2018-08-09 22:52:11,
FLINK-10114,Sub-task,2018-08-09 23:10:29,
FLINK-10115,Bug,2018-08-09 23:45:00,2018-09-03 19:39:59
FLINK-10116,Bug,2018-08-10 01:48:37,2018-08-17 04:58:27
FLINK-10117,Improvement,2018-08-10 02:32:57,
FLINK-10118,Improvement,2018-08-10 02:38:39,
FLINK-10119,Bug,2018-08-10 10:36:40,
FLINK-10120,Improvement,2018-08-10 15:01:20,2018-08-31 10:06:58
FLINK-10121,Improvement,2018-08-10 19:25:22,
FLINK-10122,Improvement,2018-08-10 19:45:04,
FLINK-10123,Improvement,2018-08-10 23:19:35,2018-08-15 14:58:46
FLINK-10124,Sub-task,2018-08-11 02:05:05,2018-08-11 02:19:54
FLINK-10125,Bug,2018-08-11 04:29:33,2018-09-05 16:46:09
FLINK-10126,Improvement,2018-08-12 17:30:30,
FLINK-10127,Improvement,2018-08-12 23:27:35,2018-08-22 06:28:18
FLINK-10128,Bug,2018-08-13 13:57:27,2018-08-13 15:03:40
FLINK-10129,Bug,2018-08-13 14:48:25,2018-09-14 17:25:20
FLINK-10130,Bug,2018-08-13 17:34:23,
FLINK-10131,Improvement,2018-08-13 18:26:42,2018-09-10 17:23:46
FLINK-10132,Improvement,2018-08-13 22:30:18,2019-03-24 00:53:33
FLINK-10133,Bug,2018-08-13 22:33:33,2018-10-23 22:32:13
FLINK-10134,Bug,2018-08-14 05:52:04,
FLINK-10135,Bug,2018-08-14 06:09:58,2018-10-16 00:26:16
FLINK-10136,Sub-task,2018-08-14 15:14:52,2018-08-25 09:44:55
FLINK-10137,Improvement,2018-08-14 15:38:01,2018-08-29 20:26:15
FLINK-10138,Bug,2018-08-14 15:46:21,2018-11-21 18:58:32
FLINK-10139,Test,2018-08-14 16:10:26,2018-08-20 23:38:24
FLINK-10140,Bug,2018-08-14 16:36:18,
FLINK-10141,Bug,2018-08-14 17:50:31,2018-08-31 05:07:59
FLINK-10142,Improvement,2018-08-14 18:09:23,2018-11-22 00:55:42
FLINK-10143,Bug,2018-08-14 18:12:09,
