"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","82.63","10.03","10.45","15.62","4.78","532.58","81.78","31.24"
"Metrics-Repo-2010","295.68","11.29","17.52","19.26","4.99","3289.61","236.44","45.03"
"Metrics-Repo-2010","31.69","6.88","7.06","11.5","3.62","7.53","33.91","19.55"
"Metrics-Repo-2010","313.68","13.98","19.63","24.84","7.04","2621.25","201.79","48.35"
"JIRA-HA-2019","12.71","2.79","0.76","4.16","2.75","0","20.9","24.08"
"JIRA-HA-2019","21.89","2.66","1.87","5.45","2.07","0","31.38","35.64"
"JIRA-HA-2019","7.17","2.06","0.39","2.77","2.12","0","12.85","14.85"
"JIRA-HA-2019","23.51","4.03","2.05","6.71","3.52","0","36.46","41.29"
"JIRA-RA-2019","102.19","1.63","1.13","6.29","1.25","3.77","14.08","88.56"
"JIRA-RA-2019","473.74","1.61","1.52","6.89","1.19","21.31","14.07","277.18"
"JIRA-RA-2019","16.45","1.16","0.72","4.25","0.92","0","10.04","29.55"
"JIRA-RA-2019","359.93","2.31","1.81","9.03","1.88","11.3","19.62","307.16"
"MA-SZZ-2020","106.52","3.22","13.45","35.01","3.54","240.9","58.01","128.33"
"MA-SZZ-2020","270.66","2.75","16.97","48.32","3.03","806.25","221.05","245.55"
"MA-SZZ-2020","50.86","2.5","9.2","24.34","2.79","85.08","22.66","79.5"
"MA-SZZ-2020","217.47","4.13","19.18","53.32","4.56","732.42","163.78","231.33"
