"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","6.33","2.2","10.45","15.62","3.68","9.01","12.05","16.36"
"Metrics-Repo-2010","6.23","2.2","17.52","19.26","4.87","33.6","37.79","32.97"
"Metrics-Repo-2010","4.76","1.64","7.06","11.5","2.63","2.5","5.5","10.19"
"Metrics-Repo-2010","9","3.03","19.63","24.84","6.08","30.43","43.11","33.44"
"JIRA-HA-2019","6.99","1.02","0.76","4.16","2.66","0","1.74","5.69"
"JIRA-HA-2019","14.18","0.94","1.87","5.45","2.01","0","1.64","4.11"
"JIRA-HA-2019","3.87","0.76","0.39","2.77","2.06","0","1.29","4.45"
"JIRA-HA-2019","16.8","1.45","2.05","6.71","3.45","0","2.42","7.12"
"JIRA-RA-2019","6.77","0.65","1.13","6.29","1.2","3.12","1.91","6.92"
"JIRA-RA-2019","6.02","0.64","1.52","6.89","1.16","17.68","1.92","10.26"
"JIRA-RA-2019","5.04","0.46","0.72","4.25","0.88","0","1.42","4.62"
"JIRA-RA-2019","9.2","0.92","1.81","9.03","1.85","9.38","2.84","12.62"
"MA-SZZ-2020","23.8","0.83","13.45","35.01","3.33","37.59","1.56","26.78"
"MA-SZZ-2020","27.07","0.46","16.97","48.32","2.97","36.77","0.92","20.53"
"MA-SZZ-2020","17.06","0.71","9.2","24.34","2.59","27.23","1.27","21.41"
"MA-SZZ-2020","33.6","0.95","19.18","53.32","4.33","48.39","1.8","32.84"
