"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","7.98","0.91","0.6","1.94","1.1","1.8","111.43","0.49","0.48"
"ECLIPSE-2007","9.16","0.76","0.3","0.86","1.22","1.09","121.06","0.29","0.43"
"ECLIPSE-2007","[1.89,18.51]","[0.1,1.41]","[0.32,0.79]","[1.13,2.51]","[0.13,1.89]","[0.62,2.52]","[0,191.51]","[0.15,0.66]","[0.15,0.75]"
"Metrics-Repo-2010","60.71","8.34","7.16","11.5","10.86","10.95","42.99","9.33","34.4"
"Metrics-Repo-2010","184.24","9.42","11.14","14.61","13.2","14.14","96.6","12.06","161.41"
"Metrics-Repo-2010","[27.98,138.48]","[6.1,11.02]","[4.78,10.75]","[8.16,15.7]","[7.85,14.74]","[8.17,16.35]","[24.55,83.32]","[6.95,13.71]","[11.84,123.78]"
"JIRA-HA-2019","12.28","2.1","1.05","9.24","8.64","7.25","13.28","3.63","2.68"
"JIRA-HA-2019","24.25","2.04","1.24","13.22","18.21","11.14","34.48","4.12","3.29"
"JIRA-HA-2019","[6.53,22.69]","[1.54,2.9]","[0.75,1.62]","[5.94,14.48]","[4.47,15.85]","[4.69,11.77]","[5.5,26.35]","[2.65,5.31]","[1.95,4.27]"
"JIRA-RA-2019","10.2","1.33","1.78","9.61","7.13","3.93","41.79","3.08","3.08"
"JIRA-RA-2019","16.59","1.67","2.57","12.04","12.95","3.79","136.53","3.12","5.02"
"JIRA-RA-2019","[6.5,16.42]","[0.98,2.08]","[1.24,3.04]","[7.01,14.99]","[4.67,14.48]","[3.09,5.45]","[17.83,128.94]","[2.31,4.23]","[2.03,6.1]"
"MA-SZZ-2020","0.99","0.3","0.29","1.45","0.91","0.79","27.62","6.63","25.18"
"MA-SZZ-2020","1.62","0.8","0.64","2.58","1.62","1.61","227.47","12.82","51.4"
"MA-SZZ-2020","[0.79,1.27]","[0.22,0.46]","[0.22,0.4]","[1.12,1.87]","[0.72,1.2]","[0.63,1.11]","[8.69,90.95]","[5.28,9.31]","[18.94,32.6]"
"IND-JLMIV+R-2020","32.72","1.37","0.58","7.71","8.06","6.05","58.5","5","5.41"
"IND-JLMIV+R-2020","412.01","2.44","1.53","23.85","31.84","8.27","485.16","6.08","8.51"
"IND-JLMIV+R-2020","[8.07,153.53]","[1.13,1.7]","[0.46,0.89]","[5.95,12.72]","[5.81,15.38]","[5.25,7.13]","[21.04,169.53]","[4.39,5.78]","[4.59,6.53]"
