"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","31.42","6.32","46.28","49.3","9.37","33.35","140.7","50.6"
"Metrics-Repo-2010","26.78","6.87","72.19","58","10.18","45.97","328.21","57.54"
"Metrics-Repo-2010","23.47","4.72","28.75","34.17","6.72","20.62","67.25","36.6"
"Metrics-Repo-2010","40.51","9.11","81.3","71.24","12.98","49.75","306.17","74.37"
"JIRA-HA-2019","10.71","1.57","1.78","9.14","3.23","9.38","1.59","3.09"
"JIRA-HA-2019","11.28","3.16","2.19","9.98","6.57","39.02","1.85","4.29"
"JIRA-HA-2019","7.1","0.84","1.18","6.33","1.64","0","1.09","1.93"
"JIRA-HA-2019","14.65","3.08","2.72","13.56","6.87","28.33","2.4","4.92"
"JIRA-RA-2019","10.95","0.5","1.57","6.71","1.56","3.96","0.43","2.17"
"JIRA-RA-2019","22.07","1.34","1.93","7.5","2.99","18.15","1.03","3.71"
"JIRA-RA-2019","5.9","0.21","1.03","4.53","0.85","0","0.2","1.19"
"JIRA-RA-2019","23.17","1.47","2.34","9.89","3.6","14.14","1.17","3.99"
"MA-SZZ-2020","71.51","3.48","28.78","114.26","9","50.53","5.84","17.32"
"MA-SZZ-2020","203.13","4.02","70.8","259.77","10.04","88.46","4.47","16.77"
"MA-SZZ-2020","31.77","2.67","13.8","63.63","6.87","32.46","4.71","12.9"
"MA-SZZ-2020","220.91","5.11","66.68","229.11","12.59","89.77","7.19","22.61"
