"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","24.75","5.35","0.8","3.17","11.91","7.2","0","3.74","5.56"
"ECLIPSE-2007","42.72","8.31","0.97","3.84","19.6","11.41","0","5.93","9.62"
"ECLIPSE-2007","[0.06,49.42]","[0.03,10.31]","[0.18,1.76]","[0.72,7.6]","[0.45,34.55]","[0.51,13.82]","[0,0]","[0.31,7.17]","[0,11.11]"
"Metrics-Repo-2010","8.3","5.11","10.49","18.09","15.64","5.17","11.93","31.48","47.33"
"Metrics-Repo-2010","11.94","7.73","14.45","24.38","18.22","5.45","44.34","104.68","192.09"
"Metrics-Repo-2010","[6.05,12.63]","[3.45,7.86]","[7.45,15.03]","[13.41,26.58]","[11.58,21.65]","[3.97,6.78]","[4.7,34.35]","[16.11,100.8]","[20.2,130.15]"
"JIRA-HA-2019","8.77","1.8","3.82","17.39","9.34","6.65","10.34","4.58","12.21"
"JIRA-HA-2019","11.74","2.64","6.8","28.05","9.21","9.3","51.77","5.02","17.15"
"JIRA-HA-2019","[5.96,14.15]","[1.21,3.08]","[2.22,6.81]","[11.3,29.66]","[6.87,12.89]","[4.56,11.04]","[1.28,46.15]","[3.13,6.5]","[8.79,21.89]"
"JIRA-RA-2019","10.07","2.02","3.59","14.82","7.78","9.49","34.92","3.51","16.92"
"JIRA-RA-2019","18.07","2.75","4.53","16.02","8.68","15.12","110.37","4.12","36.08"
"JIRA-RA-2019","[6.32,19.04]","[1.4,3.18]","[2.56,5.19]","[11.2,21.57]","[5.72,11.01]","[6.3,18.35]","[14.72,92.26]","[2.45,5.09]","[9.24,32.61]"
"MA-SZZ-2020","5.52","1.11","2.33","7.56","6.1","3.47","8.94","3.81","17.61"
"MA-SZZ-2020","11.38","3.63","3.16","10.85","9.21","5","40.37","6.3","45.63"
"MA-SZZ-2020","[4.23,7.57]","[0.8,1.95]","[1.96,2.82]","[6.26,9.21]","[4.9,7.54]","[2.82,4.19]","[4.8,17.86]","[3.09,4.88]","[13.24,28.18]"
"IND-JLMIV+R-2020","11.45","1.8","4.55","18.04","11.07","10.23","27.88","3.36","15.02"
"IND-JLMIV+R-2020","15.22","3.02","5.94","17.29","12.05","13.02","137.95","3.1","14.76"
"IND-JLMIV+R-2020","[9.95,13.44]","[1.56,2.41]","[3.9,5.29]","[16.08,20.19]","[9.89,12.66]","[8.95,11.82]","[17.94,63.32]","[3.02,3.75]","[13.42,16.79]"
