"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","41.03","27.1","0.8","3.17","11.91","13.93","0","52.87","20.38"
"ECLIPSE-2007","70.86","43.62","0.97","3.84","19.6","22.07","0","81.94","35.29"
"ECLIPSE-2007","[0.08,81.95]","[0.14,52.86]","[0.18,1.38]","[0.72,7.6]","[0.45,23.28]","[1.02,26.73]","[0,0]","[2.4,147.41]","[0,40.75]"
"Metrics-Repo-2010","26.07","26.45","10.49","18.09","15.64","22.69","30.36","403.93","120.16"
"Metrics-Repo-2010","36.05","87.93","14.45","24.38","18.22","69.54","110.1","2072.6","415.9"
"Metrics-Repo-2010","[18.96,38.86]","[12.79,74.32]","[7.39,15.01]","[13.39,26.75]","[11.6,21.23]","[12.63,66.79]","[10.85,75.61]","[116.17,1761.02]","[54.18,356.07]"
"JIRA-HA-2019","12.87","4.93","3.82","17.39","9.34","8.43","5.35","51.77","38.86"
"JIRA-HA-2019","16.16","8.17","6.8","28.05","9.21","12.01","20.65","97.18","55.53"
"JIRA-HA-2019","[8.57,19.66]","[3.19,9.05]","[2.25,6.82]","[11.26,29.48]","[6.87,12.89]","[5.74,14.2]","[0.98,16.93]","[30.74,97.49]","[24.07,60.98]"
"JIRA-RA-2019","14.87","53.59","3.59","14.82","7.78","44.49","39.66","159.5","63.56"
"JIRA-RA-2019","23.31","319.51","4.53","16.02","8.68","223.9","75.76","605.09","172.43"
"JIRA-RA-2019","[9.92,26.08]","[3.85,300.03]","[2.56,5.17]","[11.11,21.56]","[5.67,10.97]","[8.75,251.7]","[21.44,71.96]","[48.08,565.71]","[31.05,166.82]"
"MA-SZZ-2020","22.51","2.93","2.33","7.56","6.1","5.06","20.15","45.45","113.05"
"MA-SZZ-2020","87.48","10.39","3.16","10.85","9.21","7.59","103.44","96.32","586.85"
"MA-SZZ-2020","[13.9,40.86]","[2.07,5.41]","[1.94,2.81]","[6.2,9.2]","[4.9,7.55]","[4.1,6.15]","[10.09,43.06]","[34.99,62.07]","[66.61,310.87]"
"IND-JLMIV+R-2020","18.17","5.01","4.55","18.04","11.07","12.76","58.24","34.04","86.35"
"IND-JLMIV+R-2020","35.6","12.05","5.94","17.29","12.05","17.21","286.87","88.52","221.83"
"IND-JLMIV+R-2020","[14.99,23.49]","[4.11,7.51]","[3.89,5.29]","[16.09,20.22]","[9.88,12.65]","[11.12,15.02]","[35.39,124.35]","[26.85,48.51]","[67.8,122.03]"
