fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap,IL/Ins
zeppelin-0.7.0(0.6.2).csv,0,-41,-18,1.0,0.2,0.07482993197278912
"zeppelin-0.7.0(0.6.2,0.6.1).csv",0,-26,-27,1.0,0.2,0.07325383304940375
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0).csv",-7,-16,-28,0.0,0.0,0.0730593607305936
zeppelin-0.6.1(0.6.0).csv,-20,-1,2,0.0,0.5,0.0726643598615917
"zeppelin-0.6.2(0.6.1,0.6.0).csv",-3,-11,-2,0.0,0.0,0.07216494845360824
zeppelin-0.6.2(0.6.1).csv,-1,-25,-19,0.0,0.2,0.07167235494880546
flume-1.5.2(1.5.1).csv,-29,-5,-6,0.0,0.0,0.07142857142857142
flume-1.5.1(1.5.0).csv,-8,-42,-27,0.0,0.0,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1).csv",-22,-27,-19,0.0,0.0,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0).csv",-10,1,1,0.0,0.5,0.07142857142857142
flume-1.6.0(1.5.2).csv,-29,-4,-9,0.0,0.0,0.07142857142857142
"flume-1.5.2(1.5.1,1.5.0).csv",-20,-27,-1,0.0,0.0,0.07142857142857142
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0).csv",0,-29,-30,1.0,0.2,0.0686427457098284
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6).csv",0,-13,-10,1.0,0.2,0.06860902255639098
"flume-1.5.2(1.5.1,1.5.0,1.4.0).csv",-14,1,-9,0.0,0.2,0.06769016050244243
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5).csv",-1,1,-4,0.0,0.5,0.06655844155844155
"zeppelin-0.6.2(0.6.1,0.6.0,0.5.6).csv",-14,-4,-4,0.0,0.0,0.06623376623376623
"flume-1.5.1(1.5.0,1.4.0).csv",-13,-25,-27,0.0,0.0,0.06574761399787911
"flume-1.6.0(1.5.2,1.5.1,1.5.0,1.4.0,1.3.1).csv",-4,-4,0,0.0,0.2,0.06538796861377506
"zeppelin-0.7.0(0.6.2,0.6.1,0.6.0,0.5.6,0.5.5,0.5.0).csv",-1,1,-7,0.0,0.5,0.06465833945628215
"zeppelin-0.7.1(0.7.0,0.6.2,0.6.1,0.6.0).csv",0,0,-3,1.0,0.5,0.06459143968871596
