"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.85","0.44","1","3.24","3.63","0.99","35.42","0.33","2.71"
"ECLIPSE-2007","2.06","0.41","0.63","1.99","1.26","1.44","56.02","0.03","0.68"
"ECLIPSE-2007","[1.32,4.14]","[0.19,0.68]","[0.45,1.41]","[1.6,4.52]","[2.18,4.38]","[0.15,1.82]","[0,97.94]","[0.3,0.35]","[1.92,3.11]"
"Metrics-Repo-2010","12.63","4.98","12.78","19.03","21.72","5.72","13.3","11.59","33.66"
"Metrics-Repo-2010","16.79","8.72","22.09","26.81","22.83","7.47","29.96","17.22","64.25"
"Metrics-Repo-2010","[9.25,18.9]","[3.41,9.08]","[8.79,22.56]","[14.13,30.02]","[16.98,30.11]","[4.15,8.2]","[6.63,22.55]","[8.21,18.41]","[21.74,58.53]"
"JIRA-HA-2019","11.35","5.69","1.91","11","11.21","7.52","20.51","3.57","12.79"
"JIRA-HA-2019","19.55","25.77","3.34","11.74","17.07","13.28","37.55","5.71","14.62"
"JIRA-HA-2019","[6.93,19.34]","[1.42,26.18]","[1.16,3.34]","[7.64,14.88]","[7.56,19.35]","[4.64,14.26]","[8.97,32.05]","[2.43,6.67]","[8.93,18.67]"
"JIRA-RA-2019","8.17","3.24","2.02","12.24","9.53","6.19","26.14","2.75","10.48"
"JIRA-RA-2019","9.55","9.9","2.08","11.85","10.09","8.24","66.48","3.39","13.16"
"JIRA-RA-2019","[5.98,11.73]","[1.54,10.91]","[1.51,2.87]","[9.46,16.69]","[7.14,13.29]","[4.43,9.82]","[13.75,66.14]","[1.94,4.03]","[7.76,16.42]"
"MA-SZZ-2020","1.04","0.54","0.33","1.73","1.24","1.13","2.31","1.61","5.44"
"MA-SZZ-2020","1.5","4.37","0.63","2.52","1.73","2.77","10.42","3.05","10.7"
"MA-SZZ-2020","[0.86,1.28]","[0.21,2]","[0.25,0.43]","[1.44,2.13]","[1.04,1.51]","[0.86,1.68]","[1.19,4.26]","[1.23,2.07]","[4.27,7.13]"
"IND-JLMIV+R-2020","8.29","1.01","0.66","12.61","15.35","6.52","14.01","1.91","6.11"
"IND-JLMIV+R-2020","20.65","2.1","1.38","44.51","74.68","8.71","36.39","2.7","8.21"
"IND-JLMIV+R-2020","[6.68,11.97]","[0.8,1.28]","[0.52,0.87]","[8.88,20.95]","[9.67,31.65]","[5.6,7.64]","[10.31,18.65]","[1.63,2.26]","[5.31,7.15]"
