"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","8.55","2.41","75.8","89.73","5.75","35.92","9.33","15.56"
"Metrics-Repo-2010","6.84","2.49","258.71","285.49","7.55","71.43","9.6","13.88"
"Metrics-Repo-2010","6.65","1.76","29.83","38.34","3.81","19.24","7.3","11.45"
"Metrics-Repo-2010","10.99","3.35","306.21","328.37","8.64","68.51","14.45","19.83"
"JIRA-HA-2019","25.65","34.22","2.21","16.58","8.62","12.5","5.94","10.63"
"JIRA-HA-2019","31.74","62.41","2.72","18.48","9.53","28.4","9.73","10.63"
"JIRA-HA-2019","16.84","17.11","1.52","11.43","5.99","4.69","3.74","7.61"
"JIRA-HA-2019","40.26","61.01","3.57","24.88","12.91","23.44","12.47","15.18"
"JIRA-RA-2019","6.01","0.95","1.21","6.84","2.81","6.46","2","9.24"
"JIRA-RA-2019","5.58","1.16","1.04","5.58","2.72","20.07","2.21","11.97"
"JIRA-RA-2019","4.34","0.64","0.94","5.2","2.03","1.72","1.39","5.92"
"JIRA-RA-2019","8.31","1.43","1.64","8.75","3.85","18.89","2.95","14.05"
"MA-SZZ-2020","16.94","27.95","22.51","31.76","6.26","29.77","3.92","40.36"
"MA-SZZ-2020","13.09","48.07","35.37","38.6","6.4","40.22","5.09","117.55"
"MA-SZZ-2020","13.33","15.65","14.67","23.43","4.79","21.46","2.77","17.9"
"MA-SZZ-2020","20.82","43.31","34.23","44.83","8.29","45.23","5.75","97.92"
