"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","23.2","1.2","1","3.2","3.6","1.6","115.2","3.1","5"
"ECLIPSE-2007","17.4","1.1","0.6","2","1.3","2.4","197.6","0.5","1.3"
"ECLIPSE-2007","[3.2,33.6]","[0.5,1.9]","[0.5,1.4]","[1.6,4.5]","[2.2,4.3]","[0.2,3]","[0,229.6]","[2.5,3.4]","[3.6,5.8]"
"Metrics-Repo-2010","61","17.2","12.8","19","21.7","14.1","52.8","52.3","71.2"
"Metrics-Repo-2010","101","36.9","22.1","26.8","22.8","17.4","145.4","57.8","103.8"
"Metrics-Repo-2010","[41.4,99.5]","[10.9,33.7]","[8.5,20.3]","[13.7,31]","[16.6,29.6]","[10.6,20]","[24,102.4]","[38.9,70.2]","[48.8,110.5]"
"JIRA-HA-2019","21.9","10.7","1.9","11","11.2","8.8","32.7","51.3","22.8"
"JIRA-HA-2019","53.4","43.7","3.3","11.7","17.1","14.5","70.2","147.6","20.6"
"JIRA-HA-2019","[11.2,54.6]","[3.3,38.3]","[1.2,3.5]","[7.9,15.2]","[7.5,19.6]","[5.6,15.8]","[16.1,60.5]","[21.7,133.5]","[17.5,30.1]"
"JIRA-RA-2019","13.6","7.6","2","12.2","9.5","7.7","111.7","38.7","203.9"
"JIRA-RA-2019","17.2","21","2.1","11.8","10.1","9.4","429","99.9","922.2"
"JIRA-RA-2019","[9.8,20.8]","[4,21.4]","[1.6,2.8]","[9.4,16.4]","[7.1,13.7]","[5.6,11.7]","[30.1,412.2]","[18.7,96.8]","[52.6,760.3]"
"MA-SZZ-2020","1.5","1.5","0.3","1.7","1.2","1.4","3.6","5.5","38.8"
"MA-SZZ-2020","2.1","14","0.6","2.5","1.7","3.2","15.5","11.8","218.3"
"MA-SZZ-2020","[1.2,1.8]","[0.5,5.5]","[0.3,0.4]","[1.4,2.1]","[1,1.5]","[1,2]","[1.7,6.2]","[4,7.5]","[19,95.4]"
"IND-JLMIV+R-2020","7.7","1.2","0.7","11.8","10.3","4.6","16.4","3.3","6.8"
"IND-JLMIV+R-2020","21.4","2.5","2","47.5","44.6","8.7","49.9","5.4","15.4"
"IND-JLMIV+R-2020","[4.8,13.6]","[0.8,1.7]","[0.4,1.3]","[6,29.5]","[4.5,24]","[3.2,6.7]","[8.4,28]","[2.5,4.7]","[4.7,11.2]"
