fileName,accuracy,precision,recall,F1,AUC,ER,RI,AP,RR,Popt,ACC,IL/Ins
jruby-1.5.0(1.4.0).csv,0.816793893129771,0.548821548821549,0.7375565610859731,0.6293436293436291,0.867777005695777,0.6157624221420881,1.6025564849094298,0.6887471012058289,1.0,0.343321642644043,0.0904977375565611,0.08041237113402062
"jruby-1.7.0.preview1(1.5.0,1.4.0).csv",0.693056456846204,0.22066549912434305,0.818181818181818,0.347586206896552,0.839506924222137,0.5471194750883259,1.20808788409489,0.389696467426806,0.2,0.481108575530845,0.136363636363636,0.0748688602765856
jruby-1.7.0.preview1(1.5.0).csv,0.755353666450357,0.259179265658747,0.779220779220779,0.388978930307942,0.8329759641944209,0.6144170452087391,1.59347563883201,0.365381160569966,1.0,0.503022349683176,0.175324675324675,0.07009760425909495
activemq-5.2.0(5.1.0).csv,0.924894957983193,0.277777777777778,0.6338028169014079,0.386266094420601,0.909438079650846,0.865756302521008,6.449139280125201,0.492247795056926,1.0,0.724973866683996,0.5070422535211271,0.06852791878172589
"activemq-5.3.0(5.2.0,5.1.0).csv",0.932246998284734,0.34013605442176903,0.45045045045045,0.3875968992248061,0.8816132656744989,0.860060034305317,6.14592143163572,0.3779974444354221,1.0,0.6678973774086079,0.33333333333333304,0.06758104738154613
activemq-5.3.0(5.2.0).csv,0.923670668953688,0.331658291457286,0.594594594594595,0.425806451612903,0.8960455277429609,0.856482925307968,5.96781203313867,0.4223345854737941,1.0,0.707342997472675,0.3693693693693689,0.06666666666666667
"activemq-5.3.0(5.2.0,5.1.0,5.0.0).csv",0.8953687821612349,0.24324324324324306,0.567567567567568,0.34054054054054106,0.872129671319226,0.8043167524299599,4.11029948867787,0.36478554384305895,1.0,0.633220193798556,0.306306306306306,0.06447234475738038
"activemq-5.2.0(5.1.0,5.0.0).csv",0.884978991596639,0.194214876033058,0.661971830985915,0.300319488817891,0.897474316713154,0.807996602896478,4.2082411826329915,0.4375743099282801,1.0,0.677359509904953,0.323943661971831,0.0633108458744162
"jruby-1.7.0.preview1(1.5.0,1.4.0,1.1.0).csv",0.618429591174562,0.19,0.8636363636363641,0.31147540983606603,0.841805634884222,0.474025752245637,0.901233766233766,0.431937157773706,1.0,0.4861285780974221,0.149350649350649,0.0599290780141844
activemq-5.1.0(5.0.0).csv,0.9525885558583108,0.4888888888888889,0.5176470588235289,0.5028571428571429,0.9076504201680672,0.905251424324994,9.55424836601307,0.508553410712064,1.0,0.724547072509654,0.482352941176471,0.05785562632696391
"jruby-1.5.0(1.4.0,1.1.0).csv",0.829198473282443,0.576642335766423,0.714932126696833,0.638383838383838,0.874200484770227,0.634300415499082,1.73448492254847,0.6979128122563951,1.0,0.3501563412306631,0.085972850678733,0.05316007088009451
"activemq-5.8.0(5.3.0,5.2.0,5.1.0,5.0.0).csv",0.8382568002339871,0.181488203266788,0.495049504950495,0.265604249667995,0.8041092032734509,0.67446036852881,2.07182260875815,0.303021353392784,1.0,0.513491473415058,0.21287128712871306,0.05023604890449098
"activemq-5.8.0(5.3.0,5.2.0,5.1.0).csv",0.8508335770693191,0.203846153846154,0.524752475247525,0.293628808864266,0.8136662593831658,0.710165722074754,2.45024752475248,0.317514462916047,1.0,0.543426655557243,0.257425742574257,0.0479849458993257
"activemq-5.8.0(5.3.0,5.2.0).csv",0.833284586136297,0.189189189189189,0.5544554455445551,0.282115869017632,0.8024864811628821,0.687711528015711,2.2021675140487003,0.29364749905083304,1.0,0.5314439654575099,0.21782178217821804,0.03880190605854323
groovy-1.6.BETA2(1.6.BETA1).csv,0.8114086146682191,0.314720812182741,0.696629213483146,0.4335664335664339,0.852283671384795,0.670791242630215,2.03758626589859,0.5410078879798429,1.0,0.540511618117253,0.112359550561798,0.03414634146341464
derby-10.5.1.1(10.3.1.4).csv,0.6863482512222641,0.12363238512035,0.773972602739726,0.21320754716981105,0.782503584102394,0.555878016554231,1.25163364407542,0.23491201397749495,1.0,0.499050865472739,0.232876712328767,0.03127833182230281
"groovy-1.6.BETA2(1.6.BETA1,1.5.7).csv",0.868451688009313,0.4166666666666671,0.674157303370786,0.5150214592274679,0.8600758791770029,0.751338766006985,3.02153558052434,0.56826790753553,1.0,0.522013262514053,0.112359550561798,0.02982233502538071
"derby-10.5.1.1(10.3.1.4,10.2.1.6).csv",0.9104926664159458,0.29646017699115,0.458904109589041,0.3602150537634411,0.8505851762615221,0.814788412207485,4.39923020972239,0.33357141752795,1.0,0.557566861205782,0.267123287671233,0.029023746701846966
derby-10.3.1.4(10.2.1.6).csv,0.8465138043986901,0.2,0.52755905511811,0.29004329004328994,0.8190582520468521,0.7028544688816101,2.36535433070866,0.265794703790013,1.0,0.5204532111181389,0.23622047244094505,0.026490066225165563
groovy-1.6.BETA1(1.5.7).csv,0.859848484848485,0.4695652173913039,0.5192307692307689,0.493150684931507,0.8192992508944541,0.720351664796109,2.5759197324414704,0.525176564681494,1.0,0.4500770228844711,0.115384615384615,0.02513227513227513
lucene-3.1.0(3.0.0).csv,0.8322072072072071,0.489304812834225,0.631034482758621,0.551204819277109,0.854103819557247,0.6662851375966129,1.9965701641158,0.6058757686443988,1.0,0.6636821567581489,0.296551724137931,0.02180451127819549
lucene-2.9.0(2.3.0).csv,0.800299177262528,0.497206703910615,0.671698113207547,0.5714285714285721,0.8237186707969592,0.601363105392754,1.5085485401075198,0.529121989016909,1.0,0.56384313363811,0.169811320754717,0.019925280199252802
