Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.0,0.475,0.0,0.525
JIRA-HA-2019,Ranked1,0.0,0.0,1.0,0.0,0.0
JIRA-RA-2019,Ranked1,0.0,0.0,1.0,0.0,0.0
MA-SZZ-2020,Ranked1,0.0,0.0,0.7916666666666666,0.0,0.20833333333333334
Metrics-Repo-2010,Ranked2,0.0,0.125,0.525,0.0,0.35
JIRA-HA-2019,Ranked2,0.0,0.90625,0.0,0.0,0.09375
JIRA-RA-2019,Ranked2,0.0,1.0,0.0,0.0,0.0
MA-SZZ-2020,Ranked2,0.20833333333333334,0.5833333333333334,0.20833333333333334,0.0,0.0
Metrics-Repo-2010,Ranked3,0.225,0.55,0.0,0.0,0.225
JIRA-HA-2019,Ranked3,0.75,0.09375,0.0,0.0,0.15625
JIRA-RA-2019,Ranked3,0.625,0.0,0.0,0.375,0.0
MA-SZZ-2020,Ranked3,0.5833333333333334,0.20833333333333334,0.0,0.0,0.20833333333333334
