"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","61.48","62.51","100.2","115.93","68.94","74.64","101.94","126.06"
"Metrics-Repo-2010","174.54","301.16","563.25","623","242.69","147.37","162.11","289.2"
"Metrics-Repo-2010","36.01","18.77","20.92","28.39","24.81","44.63","73.76","79.96"
"Metrics-Repo-2010","161.27","254.71","483.2","539.87","182.28","126.44","172.15","270.22"
"JIRA-HA-2019","23.76","8.26","9.11","28.11","25.73","150.8","98.19","61.94"
"JIRA-HA-2019","41.9","9.25","19.57","62.67","43.22","434.68","305.22","70.94"
"JIRA-HA-2019","15.58","6.29","5.25","16.36","17.19","66.13","33.98","43.61"
"JIRA-HA-2019","45.79","12.7","19.56","62.32","50.82","414.32","319.67","95.8"
"JIRA-RA-2019","17.37","17.84","100.93","119.1","16.35","183.92","70.27","128.86"
"JIRA-RA-2019","25.73","69.6","619.25","675.17","15.72","612.25","163.55","316.59"
"JIRA-RA-2019","12.66","6.31","4.64","13.63","12.89","67.98","38.23","67.56"
"JIRA-RA-2019","31.52","61.8","487.64","540.93","22.99","643.04","167.26","318.45"
"MA-SZZ-2020","10.15","3.38","1.88","11.19","9.12","181.51","11.77","33.28"
"MA-SZZ-2020","13.61","4.68","2.4","16.09","11.91","1789.24","22.94","57.41"
"MA-SZZ-2020","8.54","2.82","1.6","9.33","7.66","48.69","9.47","26.88"
"MA-SZZ-2020","12.54","4.08","2.26","13.8","11.14","820.35","16.62","42.28"
