"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","9.05","1.21","0.17","0.61","1.08","1.63","0","3.55","2.65"
"ECLIPSE-2007","12.32","1.62","0.14","0.55","0.98","0.9","0","1.94","2.96"
"ECLIPSE-2007","[1.47,16.31]","[0,2.23]","[0.04,0.26]","[0.15,1.22]","[0.29,1.79]","[0.97,2.66]","[0,0]","[2.37,4.68]","[0,4.6]"
"Metrics-Repo-2010","114.3","10.87","16.23","21.27","24.21","15.71","79.02","61.18","117.23"
"Metrics-Repo-2010","198.06","12.57","32.92","30.08","31.96","19.32","276.44","123.59","393.2"
"Metrics-Repo-2010","[72.95,183.01]","[8.3,14.7]","[10.14,29.64]","[14.66,30.53]","[17.77,34.17]","[11.37,21.48]","[35.09,251.17]","[39.22,107.26]","[54.74,338.44]"
"JIRA-HA-2019","11.25","5.11","1.85","9.24","7.12","4.85","17.75","22.82","18.35"
"JIRA-HA-2019","11.97","9.95","3.31","11.32","8.74","8.5","38.81","43.68","21.95"
"JIRA-HA-2019","[8.05,15.58]","[3.1,10.87]","[1.18,3.72]","[6.37,13.71]","[4.89,10.5]","[2.94,9.3]","[8.3,33.3]","[13.94,42.38]","[12.93,27.53]"
"JIRA-RA-2019","49.41","23.29","13.21","48.24","20.9","9.49","21.46","33.14","48.13"
"JIRA-RA-2019","221.51","107.13","67.95","251.54","72.71","27.42","49.8","71.35","101.48"
"JIRA-RA-2019","[13.95,222.91]","[3.75,116.62]","[1.8,48.25]","[8.42,202.25]","[8.71,66.9]","[4.63,30.72]","[9.39,41.92]","[16.8,66.28]","[28.97,112.67]"
"MA-SZZ-2020","8.73","13.37","1.98","8.23","5.85","10.12","10.99","20.6","33.19"
"MA-SZZ-2020","24.45","60.1","3.58","17.53","13.56","45.04","78.67","45.82","93.36"
"MA-SZZ-2020","[6.68,17.11]","[7.63,25.67]","[1.56,2.58]","[6.28,11]","[4.46,8.6]","[5.98,19.98]","[4.44,31.58]","[15.6,29.15]","[22.99,51.38]"
"IND-JLMIV+R-2020","102.65","38.08","6.06","36.45","30.45","49.59","158.86","845.02","70.47"
"IND-JLMIV+R-2020","1091.87","162.81","36.11","150.19","114.01","222.45","1128.8","13717.59","207.51"
"IND-JLMIV+R-2020","[35.12,363.89]","[24.05,61.11]","[3.49,15.65]","[25.65,65.23]","[21.87,53.8]","[31,89.3]","[72.03,388.24]","[42.09,4046.68]","[52.71,108.27]"
