"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.77","1.2","1.29","3.65","4.11","5.19","490.99","1.61","1.95"
"ECLIPSE-2007","3.37","1.29","0.2","0.6","0.96","1.04","672.2","0.94","1.36"
"ECLIPSE-2007","[4.28,8.88]","[0.14,2.03]","[1.08,1.42]","[3.06,4.05]","[3.41,4.71]","[4.17,5.88]","[95.09,881.67]","[0.91,2.2]","[0.93,2.81]"
"Metrics-Repo-2010","55.57","13.13","9.12","14.96","14.14","15.35","155.88","17.95","33.45"
"Metrics-Repo-2010","154.74","13.17","9.35","12.78","13.15","16.5","542.38","30.58","85.75"
"Metrics-Repo-2010","[27.92,129.3]","[10.16,17.06]","[7.04,11.89]","[11.96,18.38]","[11.28,18.14]","[11.64,20.44]","[66.89,436.59]","[12.85,32.82]","[19.82,78.83]"
"JIRA-HA-2019","8.97","3.59","2.65","11.15","8.37","10.71","52.43","7.63","7.41"
"JIRA-HA-2019","8.4","2.88","2.53","9.47","8.66","13.94","89.25","8.58","7.07"
"JIRA-HA-2019","[6.65,12.16]","[2.86,4.83]","[2.06,3.73]","[8.37,14.33]","[6.28,12.18]","[7.72,16.73]","[31.06,91.86]","[5.76,11.81]","[5.5,10.02]"
"JIRA-RA-2019","8.2","2.7","2.68","9.78","6.46","10.68","194.18","6.79","7.19"
"JIRA-RA-2019","6.63","3.91","3.22","10.17","5.44","9.34","506.72","6.92","10.55"
"JIRA-RA-2019","[6.5,10.51]","[1.96,4.98]","[1.92,3.88]","[7.29,13.37]","[5.04,8.29]","[8,13.54]","[80.65,449.85]","[5.13,9.39]","[4.89,12.14]"
"MA-SZZ-2020","4.27","0.49","1","6.41","3.26","2.29","14.58","12.19","72.46"
"MA-SZZ-2020","5.27","0.81","1.19","8.01","3.83","3.26","94.27","37.88","276.32"
"MA-SZZ-2020","[3.69,5.1]","[0.39,0.62]","[0.88,1.22]","[5.4,7.72]","[2.81,3.81]","[1.92,2.86]","[6.29,40.32]","[8.74,21.31]","[44.67,130.36]"
"IND-JLMIV+R-2020","11.81","2.67","2.02","14.17","8.75","14.25","141.83","7.94","11.07"
"IND-JLMIV+R-2020","12.72","3.83","2.45","13.75","8.59","17.64","941.36","8.22","16.12"
"IND-JLMIV+R-2020","[10.6,13.59]","[2.29,3.16]","[1.78,2.33]","[12.64,15.82]","[7.85,9.78]","[12.49,16.64]","[74.46,382.28]","[7.08,8.86]","[9.33,13.12]"
