"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.82","0.43","1.29","3.65","4.11","3.13","255","3.37","6.65"
"ECLIPSE-2007","0.99","0.46","0.2","0.6","0.96","0.75","342.53","1.66","5.47"
"ECLIPSE-2007","[2.18,3.8]","[0.05,0.73]","[1.08,1.42]","[3.06,4.05]","[3.41,4.71]","[2.46,3.63]","[40,458.33]","[1.68,4.48]","[2.98,9.97]"
"Metrics-Repo-2010","6.62","4.45","9.12","14.96","14.14","5.64","23.13","70.02","25.89"
"Metrics-Repo-2010","5.94","4.42","9.35","12.78","13.15","6.68","46.71","194.76","40.17"
"Metrics-Repo-2010","[5.3,8.4]","[3.45,5.77]","[7.02,11.85]","[11.9,18.29]","[11.28,18.15]","[4.16,7.79]","[13.18,36]","[40.75,167.34]","[18.43,41.51]"
"JIRA-HA-2019","6.45","1.51","2.65","11.15","8.37","8.89","26.58","118.86","16.7"
"JIRA-HA-2019","6.71","1.23","2.53","9.47","8.66","12.04","35.93","564.64","17.45"
"JIRA-HA-2019","[4.63,9.24]","[1.2,2.06]","[2.06,3.72]","[8.37,14.35]","[6.27,12.16]","[6.38,14.23]","[17.31,40.61]","[25.1,571.26]","[12.03,23.83]"
"JIRA-RA-2019","5.45","1.12","2.68","9.78","6.46","8.17","57.25","26.91","12.19"
"JIRA-RA-2019","4.54","1.63","3.22","10.17","5.44","7.06","110.83","35.75","12.95"
"JIRA-RA-2019","[4.3,7.09]","[0.81,2.08]","[1.92,3.89]","[7.28,13.4]","[5.04,8.3]","[6.19,10.37]","[31.2,113.76]","[18.62,41.47]","[8.98,17.19]"
"MA-SZZ-2020","3.38","0.23","1","6.41","3.26","1.92","3.18","46.33","6.81"
"MA-SZZ-2020","4.57","0.36","1.19","8.01","3.83","2.84","14.84","146.28","9.16"
"MA-SZZ-2020","[2.85,4.07]","[0.19,0.29]","[0.88,1.22]","[5.4,7.73]","[2.81,3.81]","[1.59,2.41]","[1.51,6.17]","[31.36,78.57]","[5.8,8.56]"
"IND-JLMIV+R-2020","9.44","1.15","2.02","14.17","8.75","12.53","38.79","278.96","13.49"
"IND-JLMIV+R-2020","9.73","1.52","2.45","13.75","8.59","15.6","101.9","2740.49","14.13"
"IND-JLMIV+R-2020","[8.41,10.67]","[1,1.34]","[1.78,2.33]","[12.64,15.83]","[7.85,9.77]","[10.99,14.55]","[29.69,54.32]","[107.91,913.99]","[12.01,15.13]"
