"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","22.74","13.28","29.56","35.74","14.14","545.21","92.97","77.74"
"Metrics-Repo-2010","37.73","26.62","84.5","94.73","13.07","3287.9","319.64","175.4"
"Metrics-Repo-2010","14.36","7.98","12.16","16.99","10.31","19.47","38.29","40.47"
"Metrics-Repo-2010","39.57","27.15","71.31","85.21","18.31","2645.12","302.65","159.26"
"JIRA-HA-2019","11.72","2.87","2.22","8.77","4.99","250.76","35.12","50.72"
"JIRA-HA-2019","17.26","1.9","1.83","6.98","4.09","1187.28","49.81","106.11"
"JIRA-HA-2019","7.73","2.23","1.73","6.73","3.77","32.3","22.8","25.17"
"JIRA-HA-2019","21.16","3.56","3","11.84","6.7","1097.57","60.08","109.5"
"JIRA-RA-2019","5.29","2.27","1.7","5.2","4.15","17.14","46.38","112.18"
"JIRA-RA-2019","3.86","2.19","1.66","3.38","4.16","55.44","104.14","254.68"
"JIRA-RA-2019","4.15","1.66","1.23","4.23","2.88","4.81","24.63","52.99"
"JIRA-RA-2019","6.92","3.13","2.35","6.52","5.89","49.98","122.91","242.2"
"MA-SZZ-2020","34.29","3.38","53.36","58.17","16.45","219.44","63.52","39.76"
"MA-SZZ-2020","59.8","3.51","315.34","282.25","16.11","779.41","178.55","44.25"
"MA-SZZ-2020","23.97","2.51","7.34","16.2","12.47","86.71","32.32","30"
"MA-SZZ-2020","68.58","4.5","236.47","224.12","21.1","718.7","194.68","56.1"
