"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","4.62","2.54","29.56","35.74","4.77","15.48","11.52","14.99"
"Metrics-Repo-2010","5.32","2.56","84.5","94.73","5.61","40.81","29.06","15.83"
"Metrics-Repo-2010","3.33","1.87","12.16","16.99","3.4","6.46","6.27","10.91"
"Metrics-Repo-2010","6.8","3.44","71.31","85.21","6.98","33.92","35.18","20.43"
"JIRA-HA-2019","4.99","1.09","2.22","8.77","3.62","24.48","2.89","9.18"
"JIRA-HA-2019","5.13","0.75","1.83","6.98","2.98","53.71","3.01","7.95"
"JIRA-HA-2019","3.57","0.86","1.73","6.73","2.75","10.42","2.04","6.91"
"JIRA-HA-2019","7.32","1.36","3","11.84","4.9","51.51","4.11","12.47"
"JIRA-RA-2019","2.96","0.91","1.7","5.2","3.12","10.42","2.48","8.56"
"JIRA-RA-2019","2.09","0.86","1.66","3.38","3.23","37.09","2.59","8.43"
"JIRA-RA-2019","2.33","0.66","1.23","4.23","2.15","2.6","1.79","6.25"
"JIRA-RA-2019","3.88","1.23","2.35","6.52","4.38","35.78","3.55","12.23"
"MA-SZZ-2020","10.23","0.91","53.36","58.17","7.58","35.87","3.75","26.89"
"MA-SZZ-2020","9.09","0.85","315.34","282.25","8.41","50.25","3.77","29.27"
"MA-SZZ-2020","8.09","0.69","7.34","16.2","5.6","26.3","2.86","19.7"
"MA-SZZ-2020","13.11","1.19","236.47","224.12","10.29","56.48","5.08","36.38"
