"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","44.68","5.93","11.46","17.25","3.14","23.48","26.17","22.92"
"Metrics-Repo-2010","134.43","7.14","22.86","31.11","3.81","82.66","69.86","81.19"
"Metrics-Repo-2010","19.65","4.16","6.4","10.23","2.27","4.77","13.08","8.27"
"Metrics-Repo-2010","150.66","8.88","23.29","33.48","4.79","68.26","70.71","74.03"
"JIRA-HA-2019","14.33","5.39","6.37","15.44","5.34","4.37","56.96","24.28"
"JIRA-HA-2019","25.01","10.83","13.93","25.84","7.05","24.75","123.6","38.12"
"JIRA-HA-2019","7.96","2.86","2.85","8.92","3.33","0","26.15","15.4"
"JIRA-HA-2019","27.17","10.83","13.85","28.79","8.34","17.5","124.49","51.36"
"JIRA-RA-2019","9.16","3.23","2.88","7.47","4.24","13.47","21.05","25.11"
"JIRA-RA-2019","10.33","5.82","4.31","9.15","5.92","76.22","44.86","41.86"
"JIRA-RA-2019","6.36","1.92","1.69","4.73","2.68","0","10.77","14.54"
"JIRA-RA-2019","13.66","6.48","4.78","11.23","7.2","40.42","48.16","45.7"
"MA-SZZ-2020","380.7","97.37","27.01","29.76","29.93","484.88","110.95","220.7"
"MA-SZZ-2020","1492.41","161.85","77.65","64.71","44.79","2228.09","191.3","319.5"
"MA-SZZ-2020","88.58","59.61","10.66","16.05","19.98","151.31","76.6","154.18"
"MA-SZZ-2020","1088.85","152.52","61.46","58.73","48.03","2059.18","196.07","336.33"
