"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.82","4.66","2.23","5.14","2.98","4.12","2.58","12.2","7.19"
"ECLIPSE-2007","3.12","0.38","0.13","0.83","0.74","0.18","2.26","3.08","1.28"
"ECLIPSE-2007","[3.34,8.83]","[4.23,4.9]","[2.1,2.31]","[4.2,5.65]","[2.15,3.45]","[3.92,4.23]","[1.19,5.19]","[8.7,14.14]","[6.41,7.95]"
"Metrics-Repo-2010","85.79","38.18","109.88","119.58","59.04","42.48","38.63","669.81","83.76"
"Metrics-Repo-2010","184.85","108.65","475.06","479.46","185.97","79.56","84.88","3676.07","187"
"Metrics-Repo-2010","[54.36,166.2]","[22.5,96.95]","[39.68,352.97]","[47.3,393.23]","[30.22,152.28]","[28.54,75.74]","[22.43,69.59]","[146.14,2674.63]","[43.96,160.4]"
"JIRA-HA-2019","11","12.33","5.42","14.9","9.76","13.18","4.27","56.61","89.5"
"JIRA-HA-2019","8.12","9.48","4.13","12.5","6.41","10.32","5.82","55.95","313.79"
"JIRA-HA-2019","[8.92,14.1]","[9.57,15.35]","[4.38,6.95]","[11.53,19.71]","[7.85,11.78]","[10.45,17.04]","[3,6.78]","[43.36,81.55]","[34.24,301.71]"
"JIRA-RA-2019","9.96","13.25","4.26","13.12","7.48","11.69","2.66","33.93","37.6"
"JIRA-RA-2019","10.89","26.58","5.32","13.39","8.07","10.2","3.02","35.11","46.2"
"JIRA-RA-2019","[6.91,13.77]","[8.36,33.89]","[2.99,6.15]","[9.87,17.94]","[5.28,10.46]","[8.99,15.11]","[1.88,3.79]","[24.95,47.72]","[26.59,59.4]"
"MA-SZZ-2020","5.37","3.51","2.71","5.77","3.82","5.2","3.05","41.06","24.34"
"MA-SZZ-2020","5.79","3.84","3.18","6.12","4.16","4.51","6.32","187.37","35.32"
"MA-SZZ-2020","[4.45,6.28]","[2.9,4.1]","[2.26,3.26]","[4.95,6.85]","[3.21,4.52]","[4.52,5.97]","[2.24,4.26]","[21.39,90.6]","[19.81,31.1]"
"IND-JLMIV+R-2020","18.89","6.76","4.36","12.83","11.82","16.7","94.15","99.71","103.08"
"IND-JLMIV+R-2020","30.82","14.22","3.61","8.59","14.78","22.86","883.71","390.98","179.42"
"IND-JLMIV+R-2020","[15.98,23.32]","[5.66,9.08]","[3.93,4.77]","[11.92,13.92]","[10.31,13.79]","[14.35,19.85]","[38.16,353.57]","[66.35,170.37]","[84.07,127.05]"
