"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.57","0.75","3.28","8.03","6.24","2.78","22.22","0.74","0.92"
"ECLIPSE-2007","0.71","0.35","1.71","3.24","1.7","2.03","38.49","0.91","1.59"
"ECLIPSE-2007","[3.81,5.04]","[0.36,0.97]","[2.14,4.32]","[5.55,11.69]","[4.7,7.36]","[0.5,4.08]","[0,44.44]","[0.11,1.3]","[0,1.84]"
"Metrics-Repo-2010","7.73","4.96","22.25","28.41","23.03","9.47","21.02","15.78","39.32"
"Metrics-Repo-2010","7.38","7.52","51.36","51.99","32.72","14.42","70.83","16.99","75.36"
"Metrics-Repo-2010","[6.11,10.1]","[3.47,8.03]","[13.62,46.27]","[20.18,51.85]","[16.86,33.42]","[6.28,13.94]","[7.59,48.51]","[11.91,20.93]","[25.6,65.36]"
"JIRA-HA-2019","8.74","1.37","5.71","18.61","7.6","6.86","36.03","3.22","15.08"
"JIRA-HA-2019","9.86","1.49","7.85","22.29","7.93","6.14","56.52","3.33","14.3"
"JIRA-HA-2019","[6.3,12.88]","[0.99,1.92]","[4,9.23]","[13.57,29.99]","[5.53,10.49]","[5.27,8.9]","[20.56,58.25]","[2.38,4.6]","[11.39,21.08]"
"JIRA-RA-2019","6.82","0.94","3.74","13.18","6.46","5.7","32.79","3.27","9.6"
"JIRA-RA-2019","4.45","1.06","3.29","8.44","4.68","6.02","47.5","4.32","9.93"
"JIRA-RA-2019","[5.62,8.21]","[0.69,1.34]","[2.96,4.88]","[10.92,15.8]","[5.12,7.91]","[4.13,7.7]","[20.07,48.33]","[2.34,5.22]","[7.19,12.81]"
"MA-SZZ-2020","4.69","0.82","4.28","11.37","6.42","6.58","11.85","4.09","12.02"
"MA-SZZ-2020","4.33","0.75","4.76","12.23","5.63","10.09","35.63","4.05","11.28"
"MA-SZZ-2020","[4.18,5.33]","[0.72,0.92]","[3.75,5.08]","[9.92,13.26]","[5.7,7.3]","[5.53,8.37]","[8.02,17.97]","[3.55,4.71]","[10.58,13.62]"
"IND-JLMIV+R-2020","5.78","0.67","3.62","11.02","5.89","7.47","27.29","3.05","17.32"
"IND-JLMIV+R-2020","5.96","0.97","4.29","10.27","6.02","9.82","59.96","3.23","35.48"
"IND-JLMIV+R-2020","[4.8,7.05]","[0.53,0.95]","[2.98,4.88]","[9.29,13.09]","[5,7.54]","[5.75,9.81]","[18.32,42.07]","[2.48,3.73]","[12.58,27.47]"
