"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","27.57","8.12","42.24","44.76","11.37","30.75","186.93","34.83"
"Metrics-Repo-2010","26.36","9.19","139.77","72.87","12.84","80.55","595.64","54.9"
"Metrics-Repo-2010","20.1","5.94","17.59","29.44","7.97","16.21","77.13","21.19"
"Metrics-Repo-2010","35.58","12.38","160.07","79.54","15.92","76.42","529.92","58.29"
"JIRA-HA-2019","22.19","2.08","1.49","9.79","6.22","0","2.11","8.36"
"JIRA-HA-2019","34.2","3.14","3.34","17.13","13.94","0","2","12.5"
"JIRA-HA-2019","13.11","1.3","0.67","5.49","3.03","0","1.46","4.95"
"JIRA-HA-2019","38.92","3.57","3.53","18.71","14.22","0","2.82","14.37"
"JIRA-RA-2019","2.94","0.49","0.39","2.8","1.9","0","0.69","3.88"
"JIRA-RA-2019","4.31","1","0.57","5.34","3.57","0","0.92","5.16"
"JIRA-RA-2019","1.71","0.28","0.23","1.56","1.01","0","0.46","2.37"
"JIRA-RA-2019","4.97","1.23","0.64","6.02","4.02","0","1.16","6.04"
"MA-SZZ-2020","39.22","3.34","6.57","29.91","11.32","38.4","5.39","12.4"
"MA-SZZ-2020","46.4","3.38","12.35","52.4","13.72","54.84","4.86","21.91"
"MA-SZZ-2020","23.98","2.46","3.1","14.68","7.62","24.31","4.05","6.96"
"MA-SZZ-2020","56.34","4.39","17.9","65.85","15.57","56.12","6.82","20.76"
