issueKey,type,createdDateEpoch,resolvedDateEpoch
CASSANDRA-7033,Bug,2014-04-15 03:25:50,2014-04-23 01:38:56
CASSANDRA-7034,Bug,2014-04-15 04:17:01,2014-04-15 04:39:19
CASSANDRA-7035,Bug,2014-04-15 06:23:08,2014-04-15 06:41:37
CASSANDRA-7036,Improvement,2014-04-15 07:11:20,2014-05-09 01:13:16
CASSANDRA-7037,Improvement,2014-04-15 08:27:13,2014-04-24 21:32:01
CASSANDRA-7038,Bug,2014-04-15 18:38:08,2014-04-22 13:36:59
CASSANDRA-7039,Improvement,2014-04-15 20:38:50,2015-01-16 22:34:47
CASSANDRA-7040,Improvement,2014-04-15 21:00:18,
CASSANDRA-7041,Bug,2014-04-15 21:54:34,2014-04-17 21:26:40
CASSANDRA-7042,Bug,2014-04-16 00:55:08,2015-09-16 01:54:01
CASSANDRA-7043,Bug,2014-04-16 06:08:49,2014-04-23 00:30:26
CASSANDRA-7044,Bug,2014-04-16 18:42:14,2014-04-16 22:51:54
CASSANDRA-7045,Improvement,2014-04-16 19:13:00,2014-06-13 10:34:12
CASSANDRA-7046,Improvement,2014-04-16 21:52:24,2015-10-20 23:42:42
CASSANDRA-7047,Improvement,2014-04-16 22:59:26,2014-04-24 03:08:59
CASSANDRA-7048,Bug,2014-04-17 15:10:27,2015-04-08 21:54:10
CASSANDRA-7049,Bug,2014-04-17 15:24:00,2014-07-30 06:34:59
CASSANDRA-7050,Bug,2014-04-17 19:02:23,2014-04-22 22:47:41
CASSANDRA-7051,Bug,2014-04-17 22:23:40,2014-04-19 03:26:33
CASSANDRA-7052,Bug,2014-04-18 04:39:53,2014-04-21 18:07:38
CASSANDRA-7053,Bug,2014-04-18 06:26:05,2014-04-22 05:56:25
CASSANDRA-7054,New Feature,2014-04-18 23:14:06,2014-04-19 00:27:39
CASSANDRA-7055,Bug,2014-04-19 02:00:58,2014-04-22 16:14:13
CASSANDRA-7056,Improvement,2014-04-19 02:14:40,
CASSANDRA-7057,Improvement,2014-04-19 03:10:19,2018-02-14 16:08:09
CASSANDRA-7058,Bug,2014-04-19 09:47:18,2014-04-23 00:51:05
CASSANDRA-7059,Bug,2014-04-21 17:30:30,2014-06-26 16:13:18
CASSANDRA-7060,Bug,2014-04-21 21:49:09,2014-06-18 04:43:26
CASSANDRA-7061,Improvement,2014-04-21 22:41:01,
CASSANDRA-7062,New Feature,2014-04-21 23:13:48,2014-06-19 17:04:22
CASSANDRA-7063,Improvement,2014-04-21 23:56:03,2014-05-08 02:40:34
CASSANDRA-7064,Bug,2014-04-22 00:18:23,2014-04-22 03:47:46
CASSANDRA-7065,Improvement,2014-04-22 16:35:12,
