"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","25.75","6.65","7.92","14.13","8.59","4.15","9.74","6.58"
"Metrics-Repo-2010","44.83","11.69","10.89","22.93","13.15","26.25","20.25","14.1"
"Metrics-Repo-2010","14.91","4.21","5.1","8.86","5.28","0","5.1","3.44"
"Metrics-Repo-2010","44.59","12.61","11.65","24.62","13.35","12.45","19.05","13.23"
"JIRA-HA-2019","64.3","3.54","1.68","11.23","5.85","4.99","79.4","56.59"
"JIRA-HA-2019","118.23","3.65","2.43","10.01","8.69","28.21","134.03","123.43"
"JIRA-HA-2019","38.01","2.51","1.06","8.19","3.68","0","46.89","29.81"
"JIRA-HA-2019","143.74","5.03","2.87","15.41","9.85","14.96","145.98","131.17"
"JIRA-RA-2019","44.22","1.11","0.87","4.56","1.73","0","7","6.4"
"JIRA-RA-2019","165.83","1.65","1.18","5.36","2.17","0","13.87","11.68"
"JIRA-RA-2019","11.93","0.68","0.56","2.99","1.16","0","3.86","3.5"
"JIRA-RA-2019","158.51","1.86","1.48","6.67","2.8","0","15.34","12.15"
"MA-SZZ-2020","56.04","5.88","19.36","39.84","9.39","121.14","7.13","7.71"
"MA-SZZ-2020","229.8","12.24","34.75","67.66","16.88","336.38","10.88","16.25"
"MA-SZZ-2020","20.96","3.18","11.14","25.47","5.66","51.93","4.6","4.23"
"MA-SZZ-2020","218.34","10.73","31.53","67.72","16.57","255.17","10.85","14.1"
