"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","3.35","0.36","0.22","0.92","1.77","0.33","0","1.97","1.37"
"ECLIPSE-2007","3.02","0.26","0.22","0.9","1.37","0.15","0","2.09","0.6"
"ECLIPSE-2007","[0.52,5.36]","[0.07,0.53]","[0.08,0.35]","[0.38,1.96]","[0.31,2.67]","[0.16,0.41]","[0,0]","[0.52,3.25]","[0.78,1.77]"
"Metrics-Repo-2010","21.37","3.67","24.55","34.51","30.8","5.6","25.12","115.05","26.5"
"Metrics-Repo-2010","25.7","5.68","47.9","55.18","42.93","7.28","97.65","276.4","38.8"
"Metrics-Repo-2010","[15.95,29.02]","[2.67,5.88]","[15.16,44.2]","[22.91,53.11]","[22.09,44.64]","[4.14,8.15]","[10.23,76.14]","[62.33,215.05]","[18.93,39.79]"
"JIRA-HA-2019","9.33","0.8","1.97","10.61","7.85","5.16","5.13","14.67","10.57"
"JIRA-HA-2019","11.36","1.05","4.94","12.34","8.26","9.15","19.18","20.23","22.53"
"JIRA-HA-2019","[6.21,13.09]","[0.53,1.21]","[1.1,5.23]","[7.76,16.9]","[5.64,10.78]","[3.38,11.26]","[0,12.82]","[9.53,22.69]","[6.07,23.95]"
"JIRA-RA-2019","16.86","2.9","86.28","825.84","150.43","6.76","2.38","88.74","13"
"JIRA-RA-2019","45.25","8.23","505.89","5184.9","883.43","16.13","15.43","134.7","21.19"
"JIRA-RA-2019","[8.45,41.69]","[1.37,7.83]","[1.78,398.01]","[10.96,4030.6]","[10.62,701.72]","[3.7,18.12]","[0,7.14]","[54.12,142.18]","[8.18,23.8]"
"MA-SZZ-2020","6.91","0.53","1.83","7.64","8.73","2.33","2.58","15.56","11.85"
"MA-SZZ-2020","13.01","0.8","2.58","13.16","16.9","4.17","11.68","36.97","25.4"
"MA-SZZ-2020","[5.43,9.25]","[0.43,0.66]","[1.5,2.24]","[6.16,10.29]","[6.71,11.73]","[1.83,3.07]","[1.34,4.71]","[11.47,22.03]","[9.27,16.39]"
"IND-JLMIV+R-2020","36.5","1.43","2.8","84.56","126.63","9.2","29.92","111.66","11.54"
"IND-JLMIV+R-2020","47","2.03","4.4","387.91","696.45","12.18","75.47","462.52","15.78"
"IND-JLMIV+R-2020","[31.25,42.94]","[1.25,1.73]","[2.35,3.48]","[52.54,149.11]","[68.48,258.87]","[8,10.95]","[23.15,40.68]","[77.68,226.29]","[9.94,13.62]"
