"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","46.81","1.06","0.22","0.92","1.77","0.52","0","1.04","0.29"
"ECLIPSE-2007","71.08","0.72","0.22","0.9","1.37","0.23","0","1.16","0.14"
"ECLIPSE-2007","[1.29,128.72]","[0.23,1.49]","[0.08,0.35]","[0.38,1.96]","[0.31,2.67]","[0.25,0.65]","[0,0]","[0.31,1.73]","[0.15,0.39]"
"Metrics-Repo-2010","253.71","13.22","24.55","34.51","30.8","21.52","32.33","116.24","329.67"
"Metrics-Repo-2010","824.34","25.35","47.9","55.18","42.93","50.49","86.66","541.53","2102.54"
"Metrics-Repo-2010","[122.97,667.14]","[8.99,23.94]","[15.14,44.48]","[23.07,53.25]","[22.04,44.63]","[13.23,50.63]","[14.97,62.14]","[36.87,476.64]","[30.71,1462.32]"
"JIRA-HA-2019","18.68","2.01","1.97","10.61","7.85","6.1","5.85","3.04","1.85"
"JIRA-HA-2019","32.43","2.62","4.94","12.34","8.26","10.5","21.93","3.85","2.62"
"JIRA-HA-2019","[12.41,34.52]","[1.3,3.01]","[1.1,5.23]","[7.76,16.83]","[5.65,10.8]","[4.08,13.17]","[1.43,17.62]","[2.11,4.88]","[1.28,3.1]"
"JIRA-RA-2019","304.12","25.4","86.28","825.84","150.43","9.63","4.14","14.85","5.08"
"JIRA-RA-2019","1700.06","132.06","505.89","5184.9","883.43","24.08","26.85","37.63","11.38"
"JIRA-RA-2019","[34,1351.22]","[4.2,108.6]","[1.79,398.01]","[10.93,4030.6]","[10.62,701.72]","[4.8,24.6]","[0,12.43]","[8.11,36.73]","[2.85,11.1]"
"MA-SZZ-2020","21.97","1.37","1.83","7.64","8.73","3.26","8","6.11","6.36"
"MA-SZZ-2020","92.7","2.28","2.58","13.16","16.9","5.21","36.32","13.52","23.68"
"MA-SZZ-2020","[13.98,44.01]","[1.08,1.75]","[1.5,2.23]","[6.17,10.31]","[6.72,11.8]","[2.61,4.13]","[4.11,14.81]","[4.53,8.16]","[4.33,12.94]"
"IND-JLMIV+R-2020","142.89","3.89","2.8","84.56","126.63","11.69","90.01","6.75","3.94"
"IND-JLMIV+R-2020","524.69","7.82","4.4","387.91","696.45","18.31","428.84","6.87","6.72"
"IND-JLMIV+R-2020","[103.25,255.17]","[3.26,5.22]","[2.35,3.48]","[52.53,149.12]","[68.59,258.87]","[10.07,14.68]","[56.91,164.93]","[6.01,7.6]","[3.27,4.88]"
