Dataset,Ranked,shiftA,shiftB,shiftC,other,OOM
Metrics-Repo-2010,Ranked1,0.0,0.175,0.725,0.0,0.1
JIRA-HA-2019,Ranked1,0.0,0.21875,0.78125,0.0,0.0
JIRA-RA-2019,Ranked1,0.34375,0.0,0.46875,0.0,0.1875
MA-SZZ-2020,Ranked1,0.0,0.20833333333333334,0.5833333333333334,0.0,0.20833333333333334
Metrics-Repo-2010,Ranked2,0.125,0.5,0.2,0.175,0.0
JIRA-HA-2019,Ranked2,0.0,0.65625,0.21875,0.0,0.125
JIRA-RA-2019,Ranked2,0.15625,0.3125,0.40625,0.125,0.0
MA-SZZ-2020,Ranked2,0.4166666666666667,0.4166666666666667,0.0,0.0,0.16666666666666666
Metrics-Repo-2010,Ranked3,0.5,0.1,0.0,0.4,0.0
JIRA-HA-2019,Ranked3,0.34375,0.0,0.0,0.5625,0.09375
JIRA-RA-2019,Ranked3,0.1875,0.59375,0.125,0.09375,0.0
MA-SZZ-2020,Ranked3,0.0,0.16666666666666666,0.20833333333333334,0.20833333333333334,0.4166666666666667
