"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","8.28","0.57","5.33","15.07","4.56","65.56","2.65","6.65"
"ECLIPSE-2007","5.28","0.89","2.41","6.82","2.7","15.03","1.74","1.56"
"ECLIPSE-2007","3.79","0.04","2.7","7.2","1.75","50","1.46","5.08"
"ECLIPSE-2007","11.72","1.08","6.9","18.99","6.35","75.56","3.71","7.69"
"Metrics-Repo-2010","11.33","6.89","33.65","40.4","9.89","35.26","14.02","32.5"
"Metrics-Repo-2010","12.31","7.69","134.81","134.54","10.31","52.87","12.66","52.86"
"Metrics-Repo-2010","8.66","5.18","14.68","21.44","7.42","24.38","11.13","22.78"
"Metrics-Repo-2010","15.42","9.47","122.91","129.05","13.03","51.74","18.01","53.03"
"JIRA-HA-2019","6.82","1.51","3.35","13.8","11.27","32.94","4.57","26.09"
"JIRA-HA-2019","6.44","1.52","3.71","13.18","12.81","42.33","5.37","59.42"
"JIRA-HA-2019","5.2","1.14","2.27","9.98","8.14","21.21","3.48","14.71"
"JIRA-HA-2019","9.02","2.17","4.51","18.21","16.19","48.22","7.43","67.38"
"JIRA-RA-2019","7.43","1.74","3.24","12.15","9.71","59.13","2.96","14.85"
"JIRA-RA-2019","6.24","2.71","3.24","10.64","12.55","110.58","4.84","20.98"
"JIRA-RA-2019","5.83","1.21","2.47","9.6","6.74","36.7","2.07","10.28"
"JIRA-RA-2019","9.63","3.14","4.48","16.34","15.13","109.22","5.7","22.63"
"MA-SZZ-2020","5.16","0.79","1.42","8.61","5.41","9.21","2.77","10.6"
"MA-SZZ-2020","6.24","1.02","1.46","9.29","9.18","28.48","2.98","12.29"
"MA-SZZ-2020","4.44","0.68","1.24","7.46","4.22","6.02","2.4","9.06"
"MA-SZZ-2020","6.25","0.97","1.64","10.04","6.78","13.77","3.18","12.47"
