"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","70.38","36.7","35.67","46.22","9.33","68.69","58.69","138.28"
"Metrics-Repo-2010","175.07","63.38","59.73","65.03","9.72","109.49","144.92","406.16"
"Metrics-Repo-2010","33.49","22.3","21.54","30.2","7","43.04","31.45","60.99"
"Metrics-Repo-2010","175.01","65.69","61.32","73.14","13.49","109.67","145.42","370.28"
"JIRA-HA-2019","21.23","2.1","2.23","8.28","4.99","109.12","22.44","29.93"
"JIRA-HA-2019","67.17","1.7","2.33","5.5","5.39","305.91","24.52","42.46"
"JIRA-HA-2019","8.67","1.57","1.66","6.51","3.47","45.68","15.35","19.46"
"JIRA-HA-2019","80.64","2.74","3.55","10.31","7.28","323.52","32.31","54.1"
"JIRA-RA-2019","7.6","2.77","2.17","7.07","4.89","27.13","497.31","140.61"
"JIRA-RA-2019","6.2","3.53","2.42","5.77","5.52","90.48","2634.15","301.54"
"JIRA-RA-2019","5.81","1.97","1.48","5.4","3.39","9.45","20.48","68.02"
"JIRA-RA-2019","10.32","5.25","3.21","9.35","7.54","91.13","2827.08","300.58"
"MA-SZZ-2020","61.68","11.4","28.95","28.79","6.8","1095.09","48.72","72.71"
"MA-SZZ-2020","116.59","23.23","64.01","28.77","4.57","5970.41","97.6","103"
"MA-SZZ-2020","38.84","6.67","15.25","22.08","5.6","116.57","30.19","47.97"
"MA-SZZ-2020","116.47","21","55.1","38.5","8.06","5508.24","93.59","104.55"
