"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","8.53","4.54","35.67","46.22","6.44","26.59","12.55","25.69"
"Metrics-Repo-2010","10.07","3.79","59.73","65.03","8.87","35.04","24.12","26.99"
"Metrics-Repo-2010","6.06","3.64","21.54","30.2","4.48","17.08","7.67","18.65"
"Metrics-Repo-2010","12.15","5.95","61.32","73.14","11.14","38.82","26.34","35.07"
"JIRA-HA-2019","5.25","0.78","2.23","8.28","4.87","34.38","2.32","7.71"
"JIRA-HA-2019","3.66","0.6","2.33","5.5","5.38","58.8","2.43","7.07"
"JIRA-HA-2019","4.12","0.59","1.66","6.51","3.38","18.13","1.69","5.71"
"JIRA-HA-2019","6.6","0.99","3.55","10.31","7.28","62.5","3.42","10.48"
"JIRA-RA-2019","4.26","1.09","2.17","7.07","4.76","10.42","3.24","13.83"
"JIRA-RA-2019","3.44","1.35","2.42","5.77","5.47","23.85","4.84","24.57"
"JIRA-RA-2019","3.23","0.79","1.48","5.4","3.27","4.17","2","7.25"
"JIRA-RA-2019","5.71","2.02","3.21","9.35","7.38","21.35","5.51","24.67"
"MA-SZZ-2020","17.41","1.75","28.95","28.79","6.35","45.97","4.06","26.24"
"MA-SZZ-2020","14.46","1.52","64.01","28.77","4.51","52.31","3","37"
"MA-SZZ-2020","13.81","1.36","15.25","22.08","5.18","32.24","3.34","18.44"
"MA-SZZ-2020","21.87","2.23","55.1","38.5","7.66","62.21","5.03","40.81"
