"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.56","0.33","0.61","1.73","1.18","59.72","1.6","9.56"
"ECLIPSE-2007","0.86","0.1","0.37","1.07","0.68","19.69","1.37","3.01"
"ECLIPSE-2007","2.03","0.22","0.22","0.61","0.57","37.5","0.46","6.09"
"ECLIPSE-2007","3.07","0.39","0.85","2.44","1.63","69.44","2.48","11.23"
"Metrics-Repo-2010","9.61","5.7","17.3","23.85","9.45","34.45","14.85","34.37"
"Metrics-Repo-2010","9.38","6.96","22.81","22.56","15.17","62.69","20.04","76.04"
"Metrics-Repo-2010","7.55","4.16","12.66","19.26","6.51","21.83","10.68","20.17"
"Metrics-Repo-2010","12.5","7.93","25.37","31.48","14.77","54.65","22.14","64.61"
"JIRA-HA-2019","7.54","1.53","3.61","15.28","10.52","36.09","4.21","20.74"
"JIRA-HA-2019","5.67","1.33","2.93","11.35","13.48","72.44","3.58","33.86"
"JIRA-HA-2019","5.95","1.17","2.8","11.89","7.56","19.41","3.26","13.28"
"JIRA-HA-2019","9.49","1.97","4.7","19.41","16.39","69.47","5.46","35.03"
"JIRA-RA-2019","5.54","1.73","3.04","10.74","9.66","76.9","3.54","14.67"
"JIRA-RA-2019","4.83","2.53","3.35","8.94","10.82","125.85","4.24","18.68"
"JIRA-RA-2019","4.14","1.24","2.25","8.08","7.19","48.79","2.55","11.05"
"JIRA-RA-2019","7.17","3.11","4.32","13.59","13.59","128.54","5.15","26.26"
"MA-SZZ-2020","5.3","0.89","1.48","8.86","4.78","7.62","2.45","9.77"
"MA-SZZ-2020","6","1.93","1.5","8.76","8.2","26.03","2.96","11.79"
"MA-SZZ-2020","4.5","0.71","1.28","7.73","3.84","4.79","2.09","8.32"
"MA-SZZ-2020","6.2","1.3","1.71","10.16","6.17","12.44","2.94","11.58"
