"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","242.87","81.89","38.01","49.47","38.3","64.05","59.27","140.31"
"Metrics-Repo-2010","1204.71","257.49","87.52","96.91","162.59","140.58","128.47","304.83"
"Metrics-Repo-2010","44.45","30.95","20.5","29.67","11.05","33.4","33.8","73.24"
"Metrics-Repo-2010","1017.1","223.59","85.66","99.81","141.75","126.13","132.56","281.64"
"JIRA-HA-2019","19.33","3.06","2.43","8.74","5.19","124.8","56.53","32.63"
"JIRA-HA-2019","60.55","2.1","1.86","6.19","4.31","356.78","183.2","41.79"
"JIRA-HA-2019","7.95","2.37","1.83","7.06","3.94","42.88","19.69","22.48"
"JIRA-HA-2019","72.83","3.83","3.11","11.64","6.98","358.73","164.4","55.19"
"JIRA-RA-2019","6.06","2.42","2.03","6.47","3.8","21.95","158.66","135.61"
"JIRA-RA-2019","4.88","3.22","2.05","4.99","3.94","89.42","700.25","276.85"
"JIRA-RA-2019","4.7","1.68","1.43","4.94","2.7","4.55","22.49","78.4"
"JIRA-RA-2019","8.11","4.64","2.92","8.68","5.66","88.99","752.34","328.8"
"MA-SZZ-2020","54.19","7.09","26.53","33.73","7.6","234.08","44.08","46.31"
"MA-SZZ-2020","30.65","11.32","44.28","23.72","5.75","1106.74","95.07","78.16"
"MA-SZZ-2020","45.74","4.55","16.44","27.24","6.29","60.62","25.94","27.08"
"MA-SZZ-2020","63.62","11.65","42.94","40.71","9.68","1037.1","85.53","72.54"
