"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","10.73","5.88","38.01","49.47","9.95","58.28","8.91","27.31"
"Metrics-Repo-2010","13.95","6.93","87.52","96.91","13.07","236.24","7.49","30.46"
"Metrics-Repo-2010","7.61","4.25","20.5","29.67","6.81","17.95","7","19.93"
"Metrics-Repo-2010","18.28","8.84","85.66","99.81","15.47","210.67","11.56","41.04"
"JIRA-HA-2019","4.92","1.15","2.43","8.74","5.05","34.38","2.66","9.16"
"JIRA-HA-2019","4.06","0.8","1.86","6.19","4.28","67.73","2.35","7.94"
"JIRA-HA-2019","3.73","0.9","1.83","7.06","3.82","17.19","1.98","6.88"
"JIRA-HA-2019","6.64","1.45","3.11","11.64","6.85","63.98","3.63","12.3"
"JIRA-RA-2019","3.51","0.95","2.03","6.47","3.69","7.29","2.66","12.67"
"JIRA-RA-2019","2.91","1.23","2.05","4.99","3.89","21.56","4.92","13.73"
"JIRA-RA-2019","2.69","0.66","1.43","4.94","2.59","1.87","1.56","8.96"
"JIRA-RA-2019","4.74","1.75","2.92","8.68","5.56","17.19","5.4","18.23"
"MA-SZZ-2020","22.69","1.32","26.53","33.73","7.08","28.32","2.91","18.81"
"MA-SZZ-2020","14.76","0.73","44.28","23.72","5.65","44.41","1.69","27.73"
"MA-SZZ-2020","18.55","1.12","16.44","27.24","5.79","19.51","2.49","12.53"
"MA-SZZ-2020","26.84","1.55","42.94","40.71","9.09","45.95","3.38","28.7"
