"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","6.87","0.95","0.61","1.73","1.26","78.04","10.77","22.64"
"ECLIPSE-2007","2.72","0.31","0.37","1.07","0.73","48.88","11.15","14.12"
"ECLIPSE-2007","4.37","0.6","0.22","0.61","0.61","22.06","2.88","12.07"
"ECLIPSE-2007","8.66","1.15","0.85","2.44","1.73","103.96","17.65","31.51"
"Metrics-Repo-2010","55.8","16.69","17.3","23.85","12.7","117.13","198.72","111.05"
"Metrics-Repo-2010","112.62","19.9","22.81","22.56","16.54","383.46","643.46","279.42"
"Metrics-Repo-2010","36.97","12.47","12.66","19.26","9.34","58.06","92.42","66.48"
"Metrics-Repo-2010","109.84","23.71","25.37","31.48","17.55","313.64","506.35","324.58"
"JIRA-HA-2019","11.66","3.7","3.61","15.28","10.67","151.58","138.72","45.81"
"JIRA-HA-2019","8.84","3.25","2.93","11.35","13.53","536.29","560.8","62.31"
"JIRA-HA-2019","9.22","2.83","2.8","11.89","7.67","35.08","41.63","31.03"
"JIRA-HA-2019","14.89","4.82","4.7","19.41","16.5","454","509.09","70.07"
"JIRA-RA-2019","9.09","4.24","3.04","10.74","9.87","235.91","154.47","176.99"
"JIRA-RA-2019","7.85","5.78","3.35","8.94","10.96","608.51","831.62","502.8"
"JIRA-RA-2019","6.86","3.04","2.25","8.08","7.39","106.95","23.09","69.36"
"JIRA-RA-2019","11.86","6.8","4.32","13.59","13.86","569.51","665.95","433.15"
"MA-SZZ-2020","7.46","1.87","1.48","8.86","4.9","155.38","6.65","23.82"
"MA-SZZ-2020","8.98","3.94","1.5","8.76","8.3","1798.66","8.41","47.19"
"MA-SZZ-2020","6.41","1.48","1.28","7.73","3.94","19.3","5.58","18.96"
"MA-SZZ-2020","8.81","2.67","1.71","10.16","6.3","760.28","7.97","32.85"
