fileName,accuracy,precision,recall,F1,AUC,ER,RI,AP,RR,Popt,ACC
mahout-0.8(0.7).csv,0.8487680543755309,0.674740484429066,0.6989247311827961,0.686619718309859,0.8691935883005641,0.6486896281288801,1.84648584291402,0.67386686807292,1.0,0.701297451660911,0.326164874551971
"mahout-0.8(0.7,0.6).csv",0.872557349192863,0.712871287128713,0.7741935483870971,0.7422680412371129,0.9165090084696379,0.667480883602379,2.00734589587991,0.793549932940293,1.0,0.7760931890967901,0.415770609318996
"mahout-0.8(0.7,0.6,0.5).csv",0.875955819881054,0.716612377850163,0.7885304659498209,0.7508532423208191,0.9108153523161779,0.669216806982312,2.02312820333205,0.777109586662212,1.0,0.773672478375732,0.39426523297491
"mahout-0.8(0.7,0.6,0.5,0.4).csv",0.858963466440102,0.6877076411960129,0.7419354838709681,0.713793103448276,0.9023576885312641,0.6553138044401761,1.90118958311006,0.7513145439486449,1.0,0.7652082125016759,0.39426523297491
mahout-0.9(0.8).csv,0.876611418047882,0.669934640522876,0.861344537815126,0.753676470588235,0.935376863009355,0.672874275704083,2.0569286538144698,0.756736896392808,1.0,0.775243161642293,0.3529411764705879
"mahout-0.9(0.8,0.7).csv",0.901473296500921,0.7314487632508829,0.8697478991596641,0.7946257197696741,0.9547055850642142,0.700385227889432,2.33761914659857,0.860781059396995,1.0,0.8182645406681559,0.4789915966386551
"mahout-0.9(0.8,0.7,0.6).csv",0.901473296500921,0.729824561403509,0.8739495798319329,0.795411089866157,0.9520200768986841,0.6997184445388871,2.3302078726227298,0.8419765153555909,1.0,0.809159204984994,0.457983193277311
"mahout-0.9(0.8,0.7,0.6,0.5).csv",0.9042357274401469,0.729452054794521,0.894957983193277,0.80377358490566,0.9542101038528621,0.699565100856829,2.328508115575,0.8459754133301141,1.0,0.814797476391747,0.45378151260504207
"mahout-0.9(0.8,0.7,0.6,0.5,0.4).csv",0.8885819521178641,0.694352159468439,0.8781512605042021,0.775510204081633,0.944969379261138,0.6843779463727121,2.16834640833077,0.823592593332379,1.0,0.8066684563780872,0.436974789915966
mahout-0.10.0(0.9).csv,0.9024171888988359,0.612167300380228,0.958333333333333,0.7470997679814381,0.9722264037332529,0.7543108481569419,3.07018377693283,0.858534394738872,1.0,0.880551733741666,0.6369047619047621
"mahout-0.10.0(0.9,0.8).csv",0.9131602506714409,0.638132295719844,0.9761904761904759,0.771764705882353,0.980129459581514,0.764307705744918,3.2428200852325397,0.893276729232021,1.0,0.8901437874450749,0.69047619047619
"mahout-0.10.0(0.9,0.8,0.7).csv",0.8979409131602509,0.6,0.9642857142857142,0.7397260273972601,0.9753060866074559,0.7493285586392121,2.98928571428571,0.8593864259026991,1.0,0.8890365253542429,0.7023809523809521
"mahout-0.10.0(0.9,0.8,0.7,0.6).csv",0.8880931065353629,0.576512455516014,0.9642857142857142,0.7216035634743879,0.971034673089468,0.739116018435625,2.83312150482969,0.8338375978125309,1.0,0.8739128121215141,0.68452380952381
"mahout-0.10.0(0.9,0.8,0.7,0.6,0.5).csv",0.8916741271262308,0.583629893238434,0.9761904761904759,0.7305122494432071,0.971351422550053,0.742297530405922,2.8804439925436403,0.8372252047043471,1.0,0.871613203373726,0.648809523809524
"mahout-0.10.0(0.9,0.8,0.7,0.6,0.5,0.4).csv",0.892569382273948,0.5857142857142861,0.9761904761904759,0.732142857142857,0.976453911385418,0.7432146210450471,2.89430272108844,0.833223270116058,0.5,0.886337621030059,0.7023809523809521
mahout-0.11.0(0.10.0).csv,0.9632945389435992,0.8205128205128199,0.9638554216867471,0.886426592797784,0.979384414630129,0.818878692927484,4.52116156935434,0.939179442861023,1.0,0.900195833017812,0.8253012048192769
"mahout-0.11.0(0.10.0,0.9).csv",0.9686660698299019,0.8393782383419691,0.9759036144578309,0.9025069637883009,0.9824471387125792,0.822949478873084,4.64810537486735,0.965601161586795,1.0,0.888498527237693,0.7530120481927709
"mahout-0.11.0(0.10.0,0.9,0.8).csv",0.959713518352731,0.7894736842105259,0.993975903614458,0.88,0.9962468169206801,0.8117576842733509,4.312301838934689,0.977156646937477,1.0,0.9011823352692829,0.7650602409638549
"mahout-0.11.0(0.10.0,0.9,0.8,0.7).csv",0.958818263205013,0.783018867924528,1.0,0.8783068783068779,0.9964051790759251,0.810205908683975,4.268867924528299,0.978814908496818,1.0,0.907783635663648,0.7590361445783129
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6).csv",0.952551477170994,0.7627906976744191,0.9879518072289158,0.8608923884514441,0.9934881481763009,0.8051728279144921,4.13275427290558,0.947432034437867,1.0,0.9078368647003721,0.728915662650602
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6,0.5).csv",0.9516562220232769,0.754545454545455,1.0,0.860103626943005,0.993804872486793,0.8030438675022379,4.07727272727273,0.949474080379473,1.0,0.9046178577396201,0.7469879518072291
"mahout-0.11.0(0.10.0,0.9,0.8,0.7,0.6,0.5,0.4).csv",0.948075201432408,0.743243243243243,0.993975903614458,0.8505154639175259,0.9939125587523601,0.8000488320989659,4.0012211006186895,0.9513025250087801,1.0,0.9040551112265369,0.7409638554216871
mahout-0.12.0(0.11.0).csv,0.951061865189289,0.809782608695652,0.892215568862275,0.8490028490028492,0.96875245142902,0.8095769271288431,4.25146446237959,0.9096099564631379,1.0,0.8837793307247449,0.7185628742514971
"mahout-0.12.0(0.11.0,0.10.0).csv",0.9861495844875351,0.9418604651162791,0.9700598802395209,0.9557522123893809,0.9939858274716941,0.8362801089794009,5.10799331569419,0.9827966142374029,1.0,0.899016817428322,0.652694610778443
"mahout-0.12.0(0.11.0,0.10.0,0.9).csv",0.989843028624192,0.943181818181818,0.994011976047904,0.967930029154519,0.999669874225348,0.8365094727942242,5.11656232988568,0.998471380774872,1.0,0.8950815864835698,0.7065868263473051
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8).csv",0.973222530009234,0.8556701030927829,0.994011976047904,0.9196675900277009,0.99870891404963,0.8197888506936329,4.5490462374220595,0.993447034190679,1.0,0.8914220746450742,0.676646706586826
"mahout-0.12.0(0.11.0,0.10.0,0.9,0.8,0.7).csv",0.975069252077562,0.864583333333333,0.994011976047904,0.9247910863509751,0.998718719765709,0.8216466975936991,4.60684880239521,0.9932828877237672,1.0,0.904412490154557,0.70059880239521
