fileName,accuracy,precision,recall,F1,AUC,ER,RI,AP,RR,Popt,ACC,IL/Ins
"xalan-2.7(2.6,2.5,2.4).csv",0.429059829059829,1.0,0.427101200686106,0.5985576923076921,0.720840480274443,0.00341880341880342,0.00343053173241852,0.998639586172686,1.0,-0.0301782755568565,0.0308747855917667,0.5430177258971033
"xalan-2.6(2.5,2.4).csv",0.5659898477157359,0.9430894308943092,0.414285714285714,0.575682382133995,0.794094611528822,0.246455452476807,0.327061556329849,0.900231038228592,1.0,0.139176783056184,0.121428571428571,0.53894297635605
"poi-2.5(2.0,1.5).csv",0.6428571428571429,0.818181818181818,0.28125,0.4186046511627911,0.8213404605263158,0.441269841269841,0.7897727272727271,0.7777768289922221,1.0,0.125907211738985,0.078125,0.4852941176470588
xalan-2.5(2.4).csv,0.5318471337579621,0.833333333333333,0.149700598802395,0.253807106598985,0.717259358833354,0.3617834394904461,0.56686626746507,0.707013099829938,1.0,0.164025850850259,0.0898203592814371,0.48372781065088755
xerces-1.4(1.3).csv,0.6642335766423361,1.0,0.178571428571429,0.303030303030303,0.955246913580247,0.5912408759124089,1.44642857142857,0.9336952905464648,1.0,0.3748276820379329,0.0892857142857143,0.4700665188470067
log4j-1.2(1.1).csv,0.458904109589041,0.968253968253968,0.442028985507246,0.606965174129353,0.6304347826086961,0.0238041769593532,0.0243846330802853,0.968292564739418,1.0,0.0990227811184218,0.0507246376811594,0.46601941747572817
"xerces-1.4(1.3,1.2).csv",0.613138686131387,1.0,0.0535714285714286,0.101694915254237,0.884700176366843,0.5912408759124089,1.44642857142857,0.8418131906635,1.0,0.351967520299813,0.125,0.41169853768278963
"log4j-1.2(1.1,1.0).csv",0.424657534246575,0.982142857142857,0.39855072463768093,0.5670103092783499,0.636775362318841,0.0376089663760897,0.0390786749482402,0.969925347782242,1.0,0.0953337657571817,0.0434782608695652,0.39908256880733944
lucene-2.4(2.2).csv,0.7272727272727271,0.715789473684211,0.866242038216561,0.7838616714697411,0.8058404404620529,0.20240641711229895,0.25377137110291703,0.838999672112645,1.0,0.22959240339467,0.0509554140127389,0.3803418803418803
velocity-1.6(1.5).csv,0.573333333333333,0.523809523809524,0.942857142857143,0.6734693877551021,0.62,0.109090909090909,0.12244897959183698,0.589122885529707,1.0,0.180894501671699,0.0714285714285714,0.37850467289719625
"xerces-1.4(1.3,1.2,0.init).csv",0.605839416058394,1.0,0.0357142857142857,0.0689655172413793,0.81547619047619,0.5912408759124089,1.44642857142857,0.742771559267768,1.0,0.277490390092096,0.107142857142857,0.3720266412940057
"lucene-2.4(2.2,2.0).csv",0.7381818181818179,0.7639751552795029,0.78343949044586,0.7735849056603772,0.7887833315340601,0.25271249076127106,0.338173042687028,0.82582885747765,1.0,0.20288361432721,0.0445859872611465,0.37142857142857144
lucene-2.2(2.0).csv,0.7034482758620689,0.851351351351351,0.6631578947368421,0.745562130177515,0.7916842105263159,0.230432402846196,0.299431009957326,0.8595054528930419,1.0,0.0770323158380244,0.0526315789473684,0.3602150537634409
xerces-1.3(1.2).csv,0.8117154811715479,0.0,0.0,0.0,0.6629953379953379,-inf,-1.0,0.33143574096960804,0.25,0.471788267484247,0.25,0.3515981735159817
log4j-1.1(1.0).csv,0.818181818181818,0.916666666666667,0.733333333333333,0.8148148148148149,0.865333333333333,0.40495867768595,0.680555555555556,0.9119329828907372,1.0,0.47207998338624,0.133333333333333,0.3391304347826087
"xerces-1.3(1.2,0.init).csv",0.8117154811715479,0.42857142857142894,0.0681818181818182,0.11764705882352902,0.671678321678322,0.570432357043236,1.32792207792208,0.3579555070861811,0.5,0.3763435933033089,0.181818181818182,0.29833333333333334
"velocity-1.6(1.5,1.4).csv",0.4733333333333329,0.469798657718121,1.0,0.6392694063926939,0.6539285714285711,0.006666666666666671,0.00671140939597315,0.6143039987764211,1.0,0.390599835399764,0.0428571428571429,0.2982885085574572
velocity-1.5(1.4).csv,0.7894736842105259,1.0,0.7894736842105259,0.882352941176471,0.644047619047619,0.0,0.0,0.848700534864793,1.0,0.522801862935402,0.0857142857142857,0.21025641025641026
poi-2.0(1.5).csv,0.7234042553191491,0.4888888888888889,0.88,0.628571428571429,0.851014492753623,0.4559961315280461,0.8382222222222221,0.698162916870464,1.0,0.24755561120608,0.04,0.20851063829787234
xerces-1.2(0.init).csv,0.3732394366197179,0.150259067357513,0.6744186046511629,0.24576271186440696,0.502605423140017,-0.00764934434191355,-0.007591276057356309,0.202734378358828,1.0,0.313462824204131,0.0697674418604651,0.15432098765432098
camel-1.6(1.4).csv,0.859413202933985,0.6,0.14876033057851198,0.23841059602649,0.7516748283671459,0.753463732681337,3.0561983471074403,0.3734688567671429,1.0,0.447258048036775,0.15702479338842998,0.14625445897740785
"camel-1.6(1.4,1.2).csv",0.856968215158924,0.5344827586206901,0.25619834710743805,0.346368715083799,0.758718000403145,0.7232431579777591,2.6132801367911096,0.41051801908598495,1.0,0.492676867359216,0.190082644628099,0.143256464011181
camel-1.4(1.2).csv,0.8050139275766021,0.415094339622642,0.3606557377049179,0.385964912280702,0.757942292881505,0.5906558622436059,1.44293226105784,0.4257623163607229,1.0,0.474799393698428,0.188524590163934,0.13898305084745763
"camel-1.6(1.4,1.2,1.0).csv",0.8630806845965769,0.628571428571429,0.181818181818182,0.282051282051282,0.7691819723253142,0.764669926650367,3.24935064935065,0.42741092031885103,1.0,0.5096415925967139,0.190082644628099,0.13163841807909604
"camel-1.4(1.2,1.0).csv",0.8467966573816159,0.7142857142857142,0.163934426229508,0.266666666666667,0.753156287820442,0.7621169916434541,3.20374707259953,0.427346539449728,1.0,0.477559491392723,0.188524590163934,0.11840688912809473
synapse-1.2(1.1).csv,0.766393442622951,0.7142857142857142,0.4,0.512820512820513,0.7452465483234709,0.569672131147541,1.32380952380952,0.612733441422961,1.0,0.452512671044325,0.18666666666666695,0.09009009009009009
camel-1.2(1.0).csv,0.6948818897637801,1.0,0.0127388535031847,0.0251572327044025,0.6721559874426121,0.6909448818897641,2.23566878980892,0.5181167222601379,1.0,0.420694978746142,0.15286624203821694,0.08259587020648967
"synapse-1.2(1.1,1.0).csv",0.770491803278688,0.8518518518518521,0.306666666666667,0.450980392156863,0.7565285996055229,0.6391660727013541,1.77135802469136,0.633098674516419,1.0,0.447357449987224,0.18666666666666695,0.079155672823219
