"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.85","0.44","1","3.24","3.63","0.99","35.42","1.6","1.5"
"ECLIPSE-2007","2.06","0.41","0.63","1.99","1.26","1.44","56.02","0.82","1.02"
"ECLIPSE-2007","[1.32,4.14]","[0.19,0.68]","[0.45,1.41]","[1.6,4.52]","[2.18,4.38]","[0.15,1.82]","[0,97.94]","[0.79,2.14]","[0.33,2.11]"
"Metrics-Repo-2010","12.63","4.98","12.78","19.03","21.72","5.72","13.3","182.89","41.08"
"Metrics-Repo-2010","16.79","8.72","22.09","26.81","22.83","7.47","29.96","614.42","110.71"
"Metrics-Repo-2010","[9.25,18.9]","[3.41,9.08]","[8.79,22.56]","[14.13,30.02]","[16.98,30.11]","[4.15,8.2]","[6.63,22.55]","[81.67,475.98]","[23.69,91.97]"
"JIRA-HA-2019","11.35","5.69","1.91","11","11.21","7.52","20.51","23.44","12.97"
"JIRA-HA-2019","19.55","25.77","3.34","11.74","17.07","13.28","37.55","49.59","15.08"
"JIRA-HA-2019","[6.93,19.34]","[1.42,26.18]","[1.16,3.34]","[7.64,14.88]","[7.56,19.35]","[4.64,14.26]","[8.97,32.05]","[13.69,59.95]","[9.21,19.07]"
"JIRA-RA-2019","8.17","3.24","2.02","12.24","9.53","6.19","26.14","30.16","13.38"
"JIRA-RA-2019","9.55","9.9","2.08","11.85","10.09","8.24","66.48","62.65","24.94"
"JIRA-RA-2019","[5.98,11.73]","[1.54,10.91]","[1.51,2.87]","[9.46,16.69]","[7.14,13.29]","[4.43,9.82]","[13.75,66.14]","[17.44,58.61]","[8.27,26.22]"
"MA-SZZ-2020","1.04","0.54","0.33","1.73","1.24","1.13","2.31","21.19","5.6"
"MA-SZZ-2020","1.5","4.37","0.63","2.52","1.73","2.77","10.42","68.27","10.47"
"MA-SZZ-2020","[0.86,1.28]","[0.21,2]","[0.25,0.43]","[1.44,2.13]","[1.04,1.51]","[0.86,1.68]","[1.19,4.26]","[14.88,37.34]","[4.49,7.33]"
"IND-JLMIV+R-2020","8.29","1.01","0.66","12.61","15.35","6.52","14.01","46.35","6.1"
"IND-JLMIV+R-2020","20.65","2.1","1.38","44.51","74.68","8.71","36.39","209.48","7.78"
"IND-JLMIV+R-2020","[6.68,11.97]","[0.8,1.28]","[0.52,0.87]","[8.88,20.95]","[9.67,31.65]","[5.6,7.64]","[10.31,18.65]","[31.24,95.3]","[5.29,7.13]"
