"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","56.76","8.24","2.46","7.57","5.24","7.06","4.93","47.27","8.75"
"ECLIPSE-2007","37.3","1.4","0.43","0.81","1.01","0.15","0.44","11.26","1.08"
"ECLIPSE-2007","[15.27,80.85]","[6.63,9.05]","[2.07,2.83]","[6.93,8.09]","[4.61,5.83]","[6.91,7.16]","[4.43,5.19]","[35.55,54.76]","[8,9.99]"
"Metrics-Repo-2010","185.59","32.89","37.22","46.06","29.55","53.22","29.99","169.57","94.84"
"Metrics-Repo-2010","454.62","42.81","61.53","62.93","31.75","145.38","62.35","378.23","230.78"
"Metrics-Repo-2010","[99.81,385.15]","[24.37,47.76]","[24.31,58.83]","[31.91,66.13]","[22.89,40.93]","[31.49,147.44]","[18.99,58.24]","[103.91,345.22]","[50.6,192.33]"
"JIRA-HA-2019","24.1","12.83","2.72","17.66","13.99","13.71","3.28","169.25","72.71"
"JIRA-HA-2019","27.23","9.94","2.67","15.63","21.28","12.08","4.05","619.97","313.96"
"JIRA-HA-2019","[17.84,35.83]","[10.08,16.4]","[1.96,3.66]","[13.54,22.87]","[9.7,26.12]","[10.35,18.2]","[2.32,4.83]","[58.79,556.64]","[19.92,376.64]"
"JIRA-RA-2019","21.58","10.42","3.49","17.61","11.39","13.83","5.82","53.74","112.59"
"JIRA-RA-2019","18.96","9.09","3.2","14.47","9.09","10.26","10.87","71.27","310.1"
"JIRA-RA-2019","[16.42,28.02]","[7.79,13.39]","[2.66,4.62]","[13.43,22.19]","[8.97,14.57]","[10.57,16.86]","[3.45,10.76]","[36.7,80.93]","[41.91,319.46]"
"MA-SZZ-2020","4.94","1.85","2.04","8.25","3.79","5.41","7.64","6.65","25.85"
"MA-SZZ-2020","6.37","2.71","2.32","8.6","5.41","9.46","24.88","11.34","79.04"
"MA-SZZ-2020","[3.98,6]","[1.47,2.31]","[1.7,2.4]","[7.02,9.62]","[2.97,4.75]","[4.15,7.11]","[4.47,12.57]","[5.14,8.82]","[15.76,41.26]"
"IND-JLMIV+R-2020","9.74","5.71","2.07","24.97","7.56","8.21","14.42","13.73","28.33"
"IND-JLMIV+R-2020","14.99","7.5","1.73","22.95","26.02","8.45","43.87","13.07","44.4"
"IND-JLMIV+R-2020","[8.48,12.4]","[4.93,6.58]","[1.88,2.3]","[23.26,29.39]","[5.85,12.37]","[7.29,9.26]","[10.43,20.77]","[12.35,15.27]","[24.82,36.27]"
