"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","4.89","2.17","13.3","29.82","12.2","5.34","66.67","4.93","15.34"
"ECLIPSE-2007","1.25","0.32","1.35","7.37","6.02","2.74","76.38","3.21","1.16"
"ECLIPSE-2007","[4.13,6.34]","[1.91,2.37]","[11.8,14.17]","[21.58,34.56]","[7.71,15.98]","[2.18,6.96]","[0,116.67]","[1.55,7.05]","[14.22,16.11]"
"Metrics-Repo-2010","9.05","5.83","16.2","25.46","19.01","8.91","24.12","13.74","29.86"
"Metrics-Repo-2010","9.49","5.49","16.44","23.31","19.32","10.46","83.77","14.41","41.92"
"Metrics-Repo-2010","[6.91,12.17]","[4.47,7.3]","[12.6,21.45]","[19.89,32.02]","[14.53,24.7]","[6.59,12.53]","[9.94,67.98]","[10.27,18.06]","[21.3,44.72]"
"JIRA-HA-2019","17.08","5.16","14.32","38.83","18.3","15.96","47.07","7.3","17.43"
"JIRA-HA-2019","24.38","5.59","26.06","68.02","26.34","16.73","103.4","6.86","16.97"
"JIRA-HA-2019","[11.52,27.69]","[3.6,7.18]","[8.64,27.03]","[25.02,79.8]","[11.86,29.58]","[11.94,22.98]","[24.23,97.12]","[5.54,9.78]","[12.76,23.42]"
"JIRA-RA-2019","13.39","3.33","21.54","80.64","14.16","8.63","46.07","4.11","14.59"
"JIRA-RA-2019","29.37","7.3","110.14","443.49","38.79","7.83","70.44","4.87","19.58"
"JIRA-RA-2019","[7.57,28.86]","[1.99,8.03]","[3.49,92.11]","[9.04,433.36]","[6.88,38.99]","[6.52,11.1]","[29.92,71.67]","[2.91,6.1]","[10.36,23.93]"
"MA-SZZ-2020","13.3","3.14","10.36","23.96","14.71","11.05","35.04","8.39","30.16"
"MA-SZZ-2020","16.48","8.45","11.16","25.62","14.47","11.01","70.33","10.41","37.03"
"MA-SZZ-2020","[11.28,15.83]","[2.31,5.14]","[9.01,12.14]","[20.91,27.98]","[12.79,16.54]","[9.68,12.68]","[26.67,46.7]","[7.1,9.95]","[25.78,36.06]"
"IND-JLMIV+R-2020","7.48","1.43","13.07","27.99","24.73","9.28","14.07","4.49","20.39"
"IND-JLMIV+R-2020","8.78","3.63","84.94","151.88","178.03","11.33","32.88","5.65","31.26"
"IND-JLMIV+R-2020","[6.23,10.01]","[0.97,3.05]","[4.41,62.93]","[12.58,101.22]","[6.91,94.92]","[7.54,11.79]","[8.93,22.1]","[3.58,5.86]","[15.48,27.81]"
