"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","15.4","7.72","13.3","29.82","12.2","10.17","609.4","28.85","45.09"
"ECLIPSE-2007","4.35","1.15","1.35","7.37","6.02","5.49","852.75","24.81","18.78"
"ECLIPSE-2007","[11.91,18.19]","[6.98,8.41]","[11.8,14.17]","[21.58,34.56]","[7.71,15.98]","[3.9,13.58]","[0,1137.37]","[6.63,45.17]","[26.9,57.6]"
"Metrics-Repo-2010","50.38","19.12","16.2","25.46","19.01","21.04","61.03","143.24","99.83"
"Metrics-Repo-2010","164.75","20.26","16.44","23.31","19.32","18.32","217.13","334.57","239.77"
"Metrics-Repo-2010","[26.04,140.1]","[14.57,25.3]","[12.47,21.38]","[20.52,32.17]","[14.61,23.87]","[16.56,26.38]","[24.87,161.5]","[82.59,282.4]","[57.22,207.12]"
"JIRA-HA-2019","34.33","13.93","14.32","38.83","18.3","21.74","104.58","128.45","61.69"
"JIRA-HA-2019","60.12","15.64","26.06","68.02","26.34","24.54","371.23","404.36","92.8"
"JIRA-HA-2019","[21.28,65.12]","[10.32,20.1]","[8.68,26.1]","[25.33,80.52]","[12.27,29.29]","[15.92,30.9]","[35.95,351.32]","[55.38,412.57]","[40.78,108.02]"
"JIRA-RA-2019","91.36","9.39","21.54","80.64","14.16","11.55","110.56","56.39","81.69"
"JIRA-RA-2019","362.84","22.61","110.14","443.49","38.79","10.99","262.23","130.25","201.52"
"JIRA-RA-2019","[16.64,331.72]","[5.42,23.35]","[3.42,108.34]","[9.28,431.68]","[7.34,44.07]","[8.78,15.39]","[57.19,248.02]","[30.96,124.51]","[44.76,227.22]"
"MA-SZZ-2020","49.49","9.75","10.36","23.96","14.71","16.23","95.21","142.92","120.5"
"MA-SZZ-2020","160.35","35.98","11.16","25.62","14.47","18.26","265.89","444.26","219.41"
"MA-SZZ-2020","[36.19,95.54]","[6.46,18.87]","[9.12,12.1]","[21.02,28.16]","[12.92,17.04]","[13.98,19.22]","[67.2,145.62]","[95.6,227.45]","[99.9,164.34]"
"IND-JLMIV+R-2020","20.11","6.48","10.48","38.24","32.39","26.56","100.07","54.51","112.61"
"IND-JLMIV+R-2020","98.49","16.68","85.15","378.33","373.42","95.98","423.96","179.27","199.39"
"IND-JLMIV+R-2020","[13.71,54.21]","[4.98,9.06]","[5.25,34.62]","[15.47,127.66]","[9.99,120.46]","[19.94,54.11]","[65.89,184.62]","[39.93,85.84]","[92.95,139.78]"
