"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","33.36","15.9","13.32","18.91","97.18","52.51","26.21","34.4"
"Metrics-Repo-2010","68.22","52.7","41.07","43.77","552.1","149.86","69.79","100.35"
"Metrics-Repo-2010","20.32","4.3","6.13","10.81","7.93","17.81","11.37","15.38"
"Metrics-Repo-2010","70.56","40.91","39.01","44.2","443.95","118.32","69.02","98.29"
"JIRA-HA-2019","94.99","3.78","2.88","12.4","6.85","18.32","252.78","74.34"
"JIRA-HA-2019","404.52","3.51","3.92","11.47","5.18","39.57","821.06","177.76"
"JIRA-HA-2019","20.34","2.73","1.82","8.83","5.08","7.06","76.12","35.96"
"JIRA-HA-2019","381.4","5.22","4.54","16.58","8.68","34.76","731.89","214.35"
"JIRA-RA-2019","14.47","1.62","1.63","7.77","3.13","66.06","18.17","8.48"
"JIRA-RA-2019","26.66","2.04","1.85","8.86","3.58","319.71","35.42","8.23"
"JIRA-RA-2019","8.82","1.02","1.08","5.09","2.18","5.24","10.02","5.89"
"JIRA-RA-2019","34.31","2.58","2.39","11.54","4.84","310.09","39.94","11.33"
"MA-SZZ-2020","28.36","3.96","10.1","17.17","13.05","396.04","13.95","20.82"
"MA-SZZ-2020","48.46","8.14","21.47","40.01","28.56","2198.36","26.95","45.58"
"MA-SZZ-2020","17.22","2.19","5.06","9.49","7.16","66.31","7.93","10.67"
"MA-SZZ-2020","44.7","7.32","17.88","36.38","25.35","1954.41","23.86","36.97"
