"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","7.32","5.27","13.32","18.91","3.58","13.12","45.38","10.54"
"Metrics-Repo-2010","8.16","25.11","41.07","43.77","9.4","34.33","242.16","18.62"
"Metrics-Repo-2010","5.18","1.15","6.13","10.81","1.56","5.83","6.2","5.85"
"Metrics-Repo-2010","10.31","21.43","39.01","44.2","9.16","32.08","199.89","17.39"
"JIRA-HA-2019","17.02","1.42","2.88","12.4","5.13","10.63","4.63","12.91"
"JIRA-HA-2019","31.38","1.2","3.92","11.47","3.95","22.95","6.92","17.84"
"JIRA-HA-2019","9.58","1.03","1.82","8.83","3.86","4.17","2.91","8.28"
"JIRA-HA-2019","37.78","1.86","4.54","16.58","6.55","20.21","8.09","21.7"
"JIRA-RA-2019","7.41","0.61","1.63","7.77","2.07","5.99","1.93","9.12"
"JIRA-RA-2019","14.34","0.75","1.85","8.86","2.26","21.19","2.24","15.25"
"JIRA-RA-2019","4.3","0.39","1.08","5.09","1.48","0.78","1.31","5.25"
"JIRA-RA-2019","18.53","0.96","2.39","11.54","3.21","16.61","2.88","15.8"
"MA-SZZ-2020","101.86","0.54","10.1","17.17","2.53","23.81","11.06","151.23"
"MA-SZZ-2020","251.26","0.66","21.47","40.01","3.66","44.58","23.23","479.68"
"MA-SZZ-2020","51.21","0.37","5.06","9.49","1.68","12.72","5.78","40.08"
"MA-SZZ-2020","201.6","0.75","17.88","36.38","3.72","39.58","18.74","373.83"
