"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.84","2.38","2.18","5.5","0.45","1.67","0","0.5","0.22"
"ECLIPSE-2007","1.03","2.55","2.15","5.06","0.37","0.69","0","0.49","0.14"
"ECLIPSE-2007","[0.92,2.52]","[0.87,3.87]","[0.43,3.56]","[1.22,8.78]","[0.03,0.69]","[0.87,2.08]","[0,0]","[0.06,0.83]","[0.07,0.31]"
"Metrics-Repo-2010","28.37","10.11","17.23","25.21","18.06","12.65","83.83","44.61","86.27"
"Metrics-Repo-2010","54.1","14.05","38.75","42.94","31.92","14.99","461.02","147.47","506.58"
"Metrics-Repo-2010","[17.29,46.54]","[7.23,14.98]","[10.04,33.78]","[16.97,40.79]","[12.19,30.47]","[9.53,17.6]","[15.45,385.1]","[21.16,117.63]","[17.21,424.03]"
"JIRA-HA-2019","14.48","1.72","2.26","10.5","6.34","3.44","29.51","3.13","2.15"
"JIRA-HA-2019","50.28","2.06","3.29","13.05","9.21","3.73","98.91","5.38","4.88"
"JIRA-HA-2019","[5.36,47.8]","[1.21,2.57]","[1.54,3.67]","[7.62,17.22]","[4.25,10.57]","[2.41,4.7]","[9.53,80.46]","[2.07,6.24]","[1.23,5.38]"
"JIRA-RA-2019","10.18","5.04","3.46","9.68","7.08","5.02","41.54","5.39","2.52"
"JIRA-RA-2019","17.19","19.43","11.67","14.82","12.98","9.66","81.68","14.65","4.29"
"JIRA-RA-2019","[6.61,18.79]","[1.64,17.93]","[1.46,12.42]","[6.68,18.42]","[4.26,13.78]","[3.1,9.9]","[21.8,81.68]","[2.43,14.14]","[1.62,4.77]"
"MA-SZZ-2020","4.23","0.99","1.59","5.2","3.02","2.48","6.38","11.89","3.9"
"MA-SZZ-2020","8.17","1.41","1.77","6.77","3.86","3.96","54.27","101.92","7.2"
"MA-SZZ-2020","[3.42,6.05]","[0.84,1.23]","[1.39,1.87]","[4.39,6.29]","[2.55,3.7]","[2.08,3.25]","[1.09,19.87]","[4.29,46.11]","[3.1,5.12]"
"IND-JLMIV+R-2020","10.34","2.79","2.97","12.51","7.6","10.18","22.45","3.19","3.56"
"IND-JLMIV+R-2020","11.06","9.86","3.38","11.61","9.72","12.41","63.78","3.55","7.96"
"IND-JLMIV+R-2020","[9.25,11.64]","[2.11,4.73]","[2.62,3.42]","[11.34,13.99]","[6.71,9.09]","[8.77,11.69]","[17.04,33.07]","[2.8,3.66]","[2.86,4.99]"
