"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","2.03","0.33","1.43","4.52","0.22","50","0.22","0.9"
"ECLIPSE-2007","2.49","0.45","2.12","6.63","0.23","50","0.13","0.78"
"ECLIPSE-2007","0.33","0.02","0.05","0.18","0.02","0","0.07","0"
"ECLIPSE-2007","3.55","0.61","2.7","8.51","0.37","83.33","0.28","1.35"
"Metrics-Repo-2010","23.2","3.12","23.99","32.49","5.91","20.18","37.32","48.92"
"Metrics-Repo-2010","97.8","4.4","36.41","38.15","11.77","60.4","75.37","116.22"
"Metrics-Repo-2010","8.73","2.15","16.65","24.6","3.9","8.77","22.55","30.65"
"Metrics-Repo-2010","74.9","4.59","37.33","45.84","10.51","42.98","64.37","111.07"
"JIRA-HA-2019","7.7","1.82","3.67","19.29","7.87","23.93","3.22","9.34"
"JIRA-HA-2019","9","2.36","3.92","20.44","10.56","72.33","3.71","17.02"
"JIRA-HA-2019","5.36","1.27","2.61","14.02","5.45","8.97","2.25","6.03"
"JIRA-HA-2019","11.37","2.81","5.07","27.51","12.38","66.32","4.6","18.34"
"JIRA-RA-2019","8.69","2.17","2.68","12.92","5.12","19.05","2.63","7.4"
"JIRA-RA-2019","11.3","4.27","3.69","18.61","5.41","44.26","3.14","9.78"
"JIRA-RA-2019","6.07","1.24","1.75","8.91","3.64","8.73","1.9","5.01"
"JIRA-RA-2019","13.14","4.08","4","21.69","6.92","36.11","3.96","11.34"
"MA-SZZ-2020","8.89","0.93","3.27","13.83","5.63","9.62","2.63","9.57"
"MA-SZZ-2020","11.31","1.09","2.69","12.46","8.04","25.34","3.69","12.97"
"MA-SZZ-2020","7.54","0.8","2.91","12.25","4.72","6.79","2.19","7.97"
"MA-SZZ-2020","10.71","1.08","3.65","15.7","6.99","14.14","3.23","11.51"
