"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","6.22","2.74","11.77","22.3","2.89","7.25","150.28","16.21"
"Metrics-Repo-2010","6.4","5.56","22.09","48.69","3.86","20.88","861.22","22.11"
"Metrics-Repo-2010","4.59","1.59","6.42","10.86","2.02","2.5","7.78","11.14"
"Metrics-Repo-2010","8.61","5.61","20.68","43.02","4.71","16.25","703.66","24.84"
"JIRA-HA-2019","7.45","1.9","5.37","18.04","5.79","10.42","3.27","8.36"
"JIRA-HA-2019","7.31","3.11","9.64","23.64","8.33","39.2","3.51","7.86"
"JIRA-HA-2019","5.41","1.13","2.9","11.72","3.79","2.08","2.18","5.68"
"JIRA-HA-2019","10.19","3.4","10.44","29.86","10.69","34.48","4.64","11.29"
"JIRA-RA-2019","8.82","1.75","2","7.49","5.39","12.57","6.66","21.46"
"JIRA-RA-2019","12.3","2.72","2.52","9.2","5.81","30.71","8.54","25.38"
"JIRA-RA-2019","5.68","1.12","1.33","5.2","3.86","4.69","4.46","14.06"
"JIRA-RA-2019","15.14","3.29","3.12","11.82","8.22","26.21","10.87","31.11"
"MA-SZZ-2020","34.02","17.9","25.37","66.44","30.02","73.92","9.85","19.08"
"MA-SZZ-2020","30.9","31.18","24.45","59.32","45.42","114.21","12.88","16.36"
"MA-SZZ-2020","26.54","10.67","19.71","52.52","19.74","49.41","7.1","15.31"
"MA-SZZ-2020","43.61","28.96","33.72","85.82","47.83","118.52","14.4","24.87"
