"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","129.15","14.68","11.77","22.3","16.26","60.61","95.72","19.21"
"Metrics-Repo-2010","574.9","38.29","22.09","48.69","57.36","344.09","317.87","28.6"
"Metrics-Repo-2010","32.66","6.73","6.42","10.86","6.75","4.61","24.45","12.83"
"Metrics-Repo-2010","587.67","34.35","20.68","43.02","53.62","278.53","270.64","30.64"
"JIRA-HA-2019","20.85","5.65","5.37","18.04","8.98","304.87","60.32","40.9"
"JIRA-HA-2019","35.92","10.73","9.64","23.64","14.98","1278.53","142.52","88.12"
"JIRA-HA-2019","12.08","3.1","2.9","11.72","5.41","8.23","28.2","19.23"
"JIRA-HA-2019","39.04","11.26","10.44","29.86","17.5","1137.81","160.03","103.92"
"JIRA-RA-2019","22.1","4.72","2","7.49","7.56","22.76","142.54","152.08"
"JIRA-RA-2019","42.96","8.24","2.52","9.2","8.81","58.7","315.03","399.57"
"JIRA-RA-2019","12.82","2.88","1.33","5.2","5.38","7.84","62.28","51.22"
"JIRA-RA-2019","48.12","9.69","3.12","11.82","12.48","50.87","295.61","372.16"
"MA-SZZ-2020","542.79","206.45","25.37","66.44","942.04","160.44","68.5","59.61"
"MA-SZZ-2020","1428.57","457.36","24.45","59.32","2327.72","358.31","85.31","61.48"
"MA-SZZ-2020","270.16","102.12","19.71","52.52","417.88","90.56","49.88","44.35"
"MA-SZZ-2020","1160.71","377.4","33.72","85.82","1821.94","307.6","101.77","79.56"
