fileName,Ranked1,Ranked2,Ranked3,Top1_overlap,Top3_overlap
calcite-1.1.0(1).csv,-1,1,-1,0.0,0.5
calcite-1.2.0(1).csv,-34,-8,-19,0.0,0.0
calcite-1.2.0(2).csv,0,0,-4,1.0,0.5
calcite-1.3.0(1).csv,-3,-3,-6,0.0,0.0
calcite-1.3.0(2).csv,0,-1,-10,1.0,0.5
calcite-1.3.0(3).csv,0,0,-3,1.0,0.5
calcite-1.4.0(1).csv,0,-6,-4,1.0,0.2
calcite-1.4.0(2).csv,0,-6,-1,1.0,0.2
calcite-1.4.0(3).csv,0,0,-2,1.0,0.5
calcite-1.4.0(4).csv,-1,1,-2,0.0,0.5
calcite-1.5.0(1).csv,0,-4,-9,1.0,0.2
calcite-1.5.0(2).csv,0,-9,-10,1.0,0.2
calcite-1.5.0(3).csv,0,-24,-4,1.0,0.2
calcite-1.5.0(4).csv,0,0,-1,1.0,0.5
calcite-1.5.0(5).csv,-1,1,0,0.0,1.0
calcite-1.6.0(1).csv,-6,-36,-5,0.0,0.0
calcite-1.6.0(2).csv,0,-1,-4,1.0,0.5
calcite-1.6.0(3).csv,0,-1,-1,1.0,0.5
calcite-1.6.0(4).csv,0,0,-2,1.0,0.5
calcite-1.6.0(5).csv,0,-1,-1,1.0,0.5
calcite-1.6.0(6).csv,0,0,-1,1.0,0.5
calcite-1.7.0(1).csv,0,-23,1,1.0,0.5
calcite-1.7.0(2).csv,-1,-1,2,0.0,1.0
calcite-1.7.0(3).csv,0,-1,1,1.0,1.0
calcite-1.7.0(4).csv,0,-1,1,1.0,1.0
calcite-1.7.0(5).csv,0,-7,-1,1.0,0.2
calcite-1.7.0(6).csv,0,-11,0,1.0,0.5
calcite-1.7.0(7).csv,0,0,-2,1.0,0.5
calcite-1.8.0(1).csv,-1,-3,-41,0.0,0.2
calcite-1.8.0(2).csv,0,-35,-17,1.0,0.2
calcite-1.8.0(3).csv,0,-1,-1,1.0,0.5
calcite-1.8.0(4).csv,0,0,-18,1.0,0.5
calcite-1.8.0(5).csv,0,-1,1,1.0,1.0
calcite-1.8.0(6).csv,0,-1,-1,1.0,0.5
calcite-1.8.0(7).csv,0,0,-1,1.0,0.5
calcite-1.8.0(8).csv,0,0,-7,1.0,0.5
calcite-1.9.0(1).csv,0,-19,0,1.0,0.5
calcite-1.9.0(2).csv,0,-16,1,1.0,0.5
calcite-1.9.0(3).csv,-8,0,-18,0.0,0.2
calcite-1.9.0(4).csv,-1,-1,2,0.0,1.0
calcite-1.9.0(5).csv,0,0,-4,1.0,0.5
calcite-1.9.0(6).csv,0,-2,1,1.0,0.5
calcite-1.9.0(7).csv,0,-2,-8,1.0,0.2
calcite-1.9.0(8).csv,0,0,-26,1.0,0.5
calcite-1.9.0(9).csv,0,0,-2,1.0,0.5
calcite-1.10.0(1).csv,0,0,-32,1.0,0.5
calcite-1.10.0(2).csv,-3,1,-9,0.0,0.2
calcite-1.10.0(3).csv,-37,-11,0,0.0,0.2
calcite-1.10.0(4).csv,-14,0,-2,0.0,0.2
calcite-1.10.0(5).csv,-1,-3,0,0.0,0.5
calcite-1.10.0(6).csv,0,-1,1,1.0,1.0
calcite-1.10.0(7).csv,0,-1,1,1.0,1.0
calcite-1.10.0(8).csv,0,-8,0,1.0,0.5
calcite-1.10.0(9).csv,0,-4,1,1.0,0.5
calcite-1.10.0(10).csv,-1,1,0,0.0,1.0
calcite-1.11.0(1).csv,0,0,-36,1.0,0.5
calcite-1.11.0(2).csv,0,-36,-2,1.0,0.2
calcite-1.11.0(3).csv,0,-3,-4,1.0,0.2
calcite-1.11.0(4).csv,0,-7,-1,1.0,0.2
calcite-1.11.0(5).csv,0,-2,0,1.0,0.5
calcite-1.11.0(6).csv,0,-1,1,1.0,1.0
calcite-1.11.0(7).csv,0,-1,1,1.0,1.0
calcite-1.11.0(8).csv,0,0,-2,1.0,0.5
calcite-1.11.0(9).csv,0,-1,1,1.0,1.0
calcite-1.11.0(10).csv,0,0,0,1.0,1.0
calcite-1.11.0(11).csv,-1,1,0,0.0,1.0
knox-0.4.0(1).csv,-1,1,0,0.0,1.0
knox-0.5.0(1).csv,-1,1,-2,0.0,0.5
knox-0.5.0(2).csv,-1,1,0,0.0,1.0
knox-0.6.0(1).csv,-1,-1,-15,0.0,0.5
knox-0.6.0(2).csv,-1,-2,-26,0.0,0.2
knox-0.6.0(3).csv,0,-1,1,1.0,1.0
knox-0.7.0(1).csv,-2,1,-32,0.0,0.5
knox-0.7.0(2).csv,-1,-1,2,0.0,1.0
knox-0.7.0(3).csv,-1,1,-2,0.0,0.5
knox-0.7.0(4).csv,-1,1,-1,0.0,0.5
knox-0.8.0(1).csv,-1,-5,2,0.0,0.5
knox-0.8.0(2).csv,-1,-2,-9,0.0,0.2
knox-0.8.0(3).csv,-1,-2,-2,0.0,0.2
knox-0.8.0(4).csv,-1,1,0,0.0,1.0
knox-0.8.0(5).csv,0,0,0,1.0,1.0
kylin-2.0.0(1).csv,-35,-30,-7,0.0,0.0
kylin-2.1.0(1).csv,0,0,-27,1.0,0.5
kylin-2.1.0(2).csv,-1,-17,-24,0.0,0.2
kylin-2.2.0(1).csv,0,0,0,1.0,1.0
kylin-2.2.0(2).csv,0,-23,-6,1.0,0.2
kylin-2.2.0(3).csv,-1,-2,-13,0.0,0.2
mahout-0.5(1).csv,-13,-1,-25,0.0,0.2
manifoldcf-2.5(1).csv,-8,-16,-13,0.0,0.0
manifoldcf-2.6(1).csv,-24,-1,-6,0.0,0.2
manifoldcf-2.6(2).csv,-4,-5,2,0.0,0.2
manifoldcf-2.7(1).csv,-13,-9,-19,0.0,0.0
