"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","55.18","15.65","15.58","20.75","11.32","1.03","20.13","14.67"
"Metrics-Repo-2010","177.35","59.27","35.09","39.09","18.22","6.52","21.86","22.86"
"Metrics-Repo-2010","23.94","5.41","8.04","12.6","6.54","0","14.16","9.15"
"Metrics-Repo-2010","169.14","51.61","32.62","40.38","18.24","3.09","27.8","23.62"
"JIRA-HA-2019","7.38","2.23","3.83","9.5","3.42","13.41","71.41","30.84"
"JIRA-HA-2019","5.66","2.54","2.95","6.31","2.77","52.41","131.08","87.6"
"JIRA-HA-2019","5.77","1.53","2.94","7.43","2.58","2.06","36.81","13.86"
"JIRA-HA-2019","9.47","3.31","4.88","11.66","4.49","50.57","128.02","109.34"
"JIRA-RA-2019","4.17","1.42","1.91","4.87","3.36","2.81","96.32","17.6"
"JIRA-RA-2019","3.54","1.19","1.73","3.87","2.42","15.9","455.1","25.08"
"JIRA-RA-2019","3.03","1.07","1.4","3.75","2.65","0","13.04","10.52"
"JIRA-RA-2019","5.34","1.93","2.57","6.45","4.21","8.43","425.73","29.34"
"MA-SZZ-2020","13.02","12.31","5","9.4","16.81","502.54","100.2","26.83"
"MA-SZZ-2020","12.69","24.86","6.26","7.32","25.7","2349.67","243.17","80.37"
"MA-SZZ-2020","10.13","7.38","3.54","7.35","12.29","75.76","53.02","11.96"
"MA-SZZ-2020","17.39","25.44","7.33","11.53","30.3","2032.64","197.24","68.68"
