fileName,Ranked1,Ranked2,Ranked3
activemq-5.0.0.csv,-1,1,-1
activemq-5.1.0.csv,-1,1,-1
activemq-5.2.0.csv,-1,1,-1
activemq-5.3.0.csv,-1,1,-1
activemq-5.8.0.csv,-1,1,-1
camel-1.4.0.csv,-12,-12,2
camel-2.9.0.csv,-12,-12,2
camel-2.10.0.csv,-12,-12,2
camel-2.11.0.csv,-12,-12,2
derby-10.2.1.6.csv,0,-12,-10
derby-10.3.1.4.csv,0,-12,-10
derby-10.5.1.1.csv,0,-12,-10
groovy-1.5.7.csv,-11,-11,2
groovy-1.6.BETA1.csv,-11,-11,2
groovy-1.6.BETA2.csv,-11,-11,2
hbase-0.94.0.csv,-11,-9,2
hbase-0.95.0.csv,-11,-9,2
hbase-0.95.2.csv,-11,-9,2
hive-0.9.0.csv,-14,-14,2
hive-0.10.0.csv,-14,-14,2
hive-0.12.0.csv,-14,-14,2
jruby-1.1.0.csv,-10,-8,2
jruby-1.4.0.csv,-10,-8,2
jruby-1.5.0.csv,-10,-8,2
jruby-1.7.0.preview1.csv,-10,-8,2
lucene-2.3.0.csv,-13,-11,2
lucene-2.9.0.csv,-13,-11,2
lucene-3.0.0.csv,-13,-11,2
lucene-3.1.0.csv,-13,-11,2
wicket-1.3.0.beta1.csv,0,0,0
wicket-1.3.0.beta2.csv,0,0,0
wicket-1.5.3.0.csv,0,0,0
