fileName,F1,AUC,ER,RI,MCC,AP,RR,Popt,ACC
calcite-1.1.0(1).csv,0.17151607963246554,0.5,0,0,0,0.10895583164358351,0.26217926049977025,0.5,0.2
calcite-1.2.0(1).csv,0.1822289156626506,0.5,0,0,0,0.1167969845474058,0.27545214256465,0.5,0.2
calcite-1.2.0(2).csv,0.1822289156626506,0.5,0,0,0,0.1167969845474058,0.27545214256465,0.5,0.2
calcite-1.3.0(1).csv,0.15987701767870868,0.5,0,0,0,0.1005985782315289,0.24766322298995855,0.5,0.2
calcite-1.3.0(2).csv,0.15987701767870868,0.5,0,0,0,0.1005985782315289,0.24766322298995855,0.5,0.2
calcite-1.3.0(3).csv,0.15987701767870868,0.5,0,0,0,0.1005985782315289,0.24766322298995855,0.5,0.2
calcite-1.4.0(1).csv,0.16338880484114976,0.5,0,0,0,0.10302750158522476,0.25205002599538445,0.5,0.2
calcite-1.4.0(2).csv,0.16338880484114976,0.5,0,0,0,0.10302750158522476,0.25205002599538445,0.5,0.2
calcite-1.4.0(3).csv,0.16338880484114976,0.5,0,0,0,0.10302750158522476,0.25205002599538445,0.5,0.2
calcite-1.4.0(4).csv,0.16338880484114976,0.5,0,0,0,0.10302750158522476,0.25205002599538445,0.5,0.2
calcite-1.5.0(1).csv,0.14548126377663484,0.5,0,0,0,0.09034970505823726,0.2295244975751667,0.5,0.2
calcite-1.5.0(2).csv,0.14548126377663484,0.5,0,0,0,0.09034970505823726,0.2295244975751667,0.5,0.2
calcite-1.5.0(3).csv,0.14548126377663484,0.5,0,0,0,0.09034970505823726,0.2295244975751667,0.5,0.2
calcite-1.5.0(4).csv,0.14548126377663484,0.5,0,0,0,0.09034970505823726,0.2295244975751667,0.5,0.2
calcite-1.5.0(5).csv,0.14548126377663484,0.5,0,0,0,0.09034970505823726,0.2295244975751667,0.5,0.2
calcite-1.6.0(1).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.6.0(2).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.6.0(3).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.6.0(4).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.6.0(5).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.6.0(6).csv,0.1514059120403749,0.5,0,0,0,0.09435889032901162,0.23700427469802277,0.5,0.2
calcite-1.7.0(1).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(2).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(3).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(4).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(5).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(6).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.7.0(7).csv,0.1628222523744912,0.5,0,0,0,0.1021470209565761,0.25131143106804044,0.5,0.2
calcite-1.8.0(1).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(2).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(3).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(4).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(5).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(6).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(7).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.8.0(8).csv,0.12594113620807665,0.5,0,0,0,0.07693807677370573,0.20450346431525993,0.5,0.2
calcite-1.9.0(1).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(2).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(3).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(4).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(5).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(6).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(7).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(8).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.9.0(9).csv,0.1154639175257732,0.5,0,0,0,0.07016535797446169,0.19085616627175447,0.5,0.2
calcite-1.10.0(1).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(2).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(3).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(4).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(5).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(6).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(7).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(8).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(9).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.10.0(10).csv,0.10335195530726257,0.5,0,0,0,0.06257952788636814,0.17481548100900463,0.5,0.2
calcite-1.11.0(1).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(2).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(3).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(4).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(5).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(6).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(7).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(8).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(9).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(10).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
calcite-1.11.0(11).csv,0.09021512838306732,0.5,0,0,0,0.05448212921824851,0.15701391580373492,0.5,0.2
knox-0.4.0(1).csv,0.14784394250513347,0.5,0,0,0,0.09911494522604229,0.2330447780396454,0.5,0.2
