"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.8","0.51","0.47","1.34","2.57","58.33","2.52","6.38"
"ECLIPSE-2007","1.76","0.4","0.49","1.39","0.38","8.33","0.51","1.62"
"ECLIPSE-2007","0.23","0.17","0.01","0.01","2.17","50","1.96","4.92"
"ECLIPSE-2007","2.96","0.78","0.79","2.26","2.82","63.89","2.77","7.45"
"Metrics-Repo-2010","9.23","6.04","33.71","41.48","10.3","36.15","11.27","23.66"
"Metrics-Repo-2010","8.68","6.96","134.48","134.26","12.47","86.4","12.84","27.16"
"Metrics-Repo-2010","7.3","4.47","14.63","22.15","7.44","22.94","8.28","17.77"
"Metrics-Repo-2010","11.84","8.32","125.2","132.97","13.92","81.92","15.17","32.18"
"JIRA-HA-2019","5.94","1.53","2.61","11.32","11.96","61.73","3.52","17.86"
"JIRA-HA-2019","6.98","1.71","2.88","12.6","15.95","122.23","3.26","18.72"
"JIRA-HA-2019","4.33","1.13","1.86","7.93","8.14","37.37","2.56","12.56"
"JIRA-HA-2019","8.85","2.15","3.75","16.02","18.18","127.46","4.73","24.17"
"JIRA-RA-2019","8.53","1.92","4.06","14.75","9.41","99.21","3.48","17.05"
"JIRA-RA-2019","6","3","3.49","10.28","9.44","230.5","4.89","20.83"
"JIRA-RA-2019","6.83","1.28","3.18","12.19","7.22","52.8","2.47","12.78"
"JIRA-RA-2019","10.38","3.28","5.42","18.2","12.93","207.47","5.66","26.31"
"MA-SZZ-2020","5.6","0.91","1.57","9.66","4.6","8.01","2.65","10.34"
"MA-SZZ-2020","6.84","2.03","1.89","10.92","7.88","23.21","3.07","11.37"
"MA-SZZ-2020","4.74","0.7","1.35","8.26","3.67","5.28","2.31","8.97"
"MA-SZZ-2020","6.55","1.32","1.88","11.18","5.98","11.85","3.17","12.01"
