"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"ECLIPSE-2007","5.17","1.46","0.47","1.34","2.72","69.65","15.39","14.04"
"ECLIPSE-2007","5.85","1.08","0.49","1.39","0.4","33.05","2.8","3.98"
"ECLIPSE-2007","0.63","0.51","0.01","0.01","2.32","34.31","12.95","9.45"
"ECLIPSE-2007","8.88","2.17","0.79","2.26","2.99","91.48","17.22","16.29"
"Metrics-Repo-2010","39.21","17.42","33.71","41.48","13.83","139.63","118.44","111.61"
"Metrics-Repo-2010","50.95","18.27","134.48","134.26","14.84","411.46","279.36","216.17"
"Metrics-Repo-2010","28.79","12.94","14.63","22.15","10.12","70.39","70.78","74.28"
"Metrics-Repo-2010","56.82","22.85","125.2","132.97","18","319.9","247.61","208.04"
"JIRA-HA-2019","8.64","3.73","2.61","11.32","12.09","212.24","45.25","45.05"
"JIRA-HA-2019","9.57","4.34","2.88","12.6","16","711.76","87.62","60.82"
"JIRA-HA-2019","6.32","2.7","1.86","7.93","8.3","69.61","26.31","30.7"
"JIRA-HA-2019","12.44","5.33","3.75","16.02","18.43","661.17","88.34","70.63"
"JIRA-RA-2019","13.68","4.72","4.06","14.75","9.65","220.99","234.97","200.39"
"JIRA-RA-2019","9.84","7.02","3.49","10.28","9.63","572.31","1124.96","541.52"
"JIRA-RA-2019","10.89","3.19","3.18","12.19","7.43","101.7","25.26","91.83"
"JIRA-RA-2019","16.97","7.65","5.42","18.2","13.34","533.67","953.62","457.49"
"MA-SZZ-2020","7.8","1.93","1.57","9.66","4.75","152.52","7.12","29.71"
"MA-SZZ-2020","10.38","4.2","1.89","10.92","8.06","1792.43","8.75","83.78"
"MA-SZZ-2020","6.62","1.48","1.35","8.26","3.83","20.75","6.11","22.44"
"MA-SZZ-2020","9.29","2.74","1.88","11.18","6.17","760.82","8.56","54.7"
