"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","323.49","70.89","67.74","102.19","37.38","53.41","78.15","72.23"
"Metrics-Repo-2010","1379.05","184.12","239.91","349.83","159.56","95.41","135.87","96.97"
"Metrics-Repo-2010","79.19","31.92","26.47","41.44","10.57","29.51","48.6","50.62"
"Metrics-Repo-2010","1232.34","163.98","224.2","333.66","141.02","87.76","147.3","123.92"
"JIRA-HA-2019","45.94","2.51","2.43","9.14","5.84","123.94","37.25","42.21"
"JIRA-HA-2019","209.05","1.71","1.85","5.76","4.61","356.77","63.38","71.61"
"JIRA-HA-2019","8.38","1.99","1.91","7.47","4.49","41.66","22.03","26.97"
"JIRA-HA-2019","230.22","3.07","3.14","11.31","7.83","357.66","69.33","103.11"
"JIRA-RA-2019","4.76","2.45","1.44","4.59","4.06","27.47","496.42","140.85"
"JIRA-RA-2019","4.72","2.99","1.64","3.72","3.65","89.61","2635.12","319.26"
"JIRA-RA-2019","3.42","1.76","1.03","3.56","3","9.88","24.69","66.17"
"JIRA-RA-2019","6.7","4.25","2.25","6.33","5.53","90.97","2823.44","319.13"
"MA-SZZ-2020","58.28","6.13","23.54","31.94","7.82","1093.65","15.05","39.96"
"MA-SZZ-2020","103.8","4.66","38.61","23.62","4.41","5970.71","16.81","58.04"
"MA-SZZ-2020","40.34","4.91","14.59","26.38","6.75","117.09","11.7","25.93"
"MA-SZZ-2020","120.12","7.62","37.58","40.01","9.31","5497.74","22.3","59.47"
