"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","10.37","5.45","3.01","6.35","4.29","4.88","4.69","15.68","10.12"
"ECLIPSE-2007","4.81","1.8","0.53","0.8","0.88","0.83","0.86","5.65","1.28"
"ECLIPSE-2007","[4.91,13.39]","[3.39,6.56]","[2.41,3.33]","[5.73,6.85]","[3.63,4.85]","[3.92,5.36]","[3.69,4.69]","[10.02,19.45]","[9.28,11.26]"
"Metrics-Repo-2010","243.63","24.59","70.88","82.46","40.94","35.59","25.97","66.5","43.46"
"Metrics-Repo-2010","1065.34","24.6","223.43","227.44","84.89","44.97","57.34","101.86","75.32"
"Metrics-Repo-2010","[76.41,917.53]","[18.6,31.46]","[36.92,243.82]","[48,200.71]","[27.52,89.19]","[26.65,50.26]","[16.83,55.1]","[46.58,98.3]","[27.43,67.79]"
"JIRA-HA-2019","15.15","14.53","6.58","18.52","12.55","15.37","11.08","52.61","49.43"
"JIRA-HA-2019","11.32","11.24","5.14","13.95","7.74","11.49","25.11","41.84","103.28"
"JIRA-HA-2019","[11.95,18.9]","[11.35,18.22]","[5.11,8.46]","[14.31,23.17]","[10.21,14.94]","[12.07,19.24]","[5.6,24.65]","[42.16,69.24]","[31.13,104.31]"
"JIRA-RA-2019","11.78","10.35","4.44","13.94","8.16","10.91","4.34","42.65","40.06"
"JIRA-RA-2019","13.55","10.11","4.56","12.5","7.46","9.57","8.31","49.13","84.41"
"JIRA-RA-2019","[8.1,16.94]","[7.41,13.84]","[3.29,6.25]","[10.36,17.93]","[6.07,10.7]","[8.06,13.89]","[2.68,8.73]","[30.66,63.29]","[24.46,90.31]"
"MA-SZZ-2020","12.92","3.43","2.71","5.79","4.03","5.2","8.16","12.49","20.51"
"MA-SZZ-2020","33.09","3.86","2.98","6.58","4.76","5.95","41.68","23.7","56.07"
"MA-SZZ-2020","[9.13,22.46]","[2.87,4.05]","[2.29,3.23]","[4.85,7]","[3.34,4.85]","[4.38,6.28]","[4.35,21.48]","[9.35,17.13]","[13.94,35.54]"
"IND-JLMIV+R-2020","6.5","5.8","4.02","10.34","5.57","7.16","16.56","32.16","70.98"
"IND-JLMIV+R-2020","11.91","6.34","4.43","8.06","7.03","6.3","63.22","30.11","92.95"
"IND-JLMIV+R-2020","[4.63,9.4]","[4.85,7.5]","[3.37,5.21]","[8.92,12.04]","[4.4,7.07]","[6,8.43]","[8.88,45.3]","[27.45,39]","[55.86,92.62]"
