"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","1.68","1.57","3.01","6.35","4.29","0.5","0","3.22","4.67"
"ECLIPSE-2007","0.84","0.54","0.53","0.8","0.88","0.37","0","0.63","0.45"
"ECLIPSE-2007","[0.71,2.18]","[0.96,1.91]","[2.41,3.33]","[5.73,6.85]","[3.63,4.85]","[0.09,0.74]","[0,0]","[2.54,3.64]","[4.17,4.96]"
"Metrics-Repo-2010","11.69","7.31","70.88","82.46","40.94","7.07","1.75","11.52","13.33"
"Metrics-Repo-2010","14.12","7.59","223.43","227.44","84.89","10.28","9.28","12.87","12.08"
"Metrics-Repo-2010","[8.72,15.42]","[5.62,9.59]","[38.01,194.05]","[47.73,210.14]","[27.74,84.28]","[5.21,10.92]","[0,4.39]","[8.92,16.02]","[10.34,16.5]"
"JIRA-HA-2019","5.45","5.64","6.58","18.52","12.55","9.36","1.5","9.28","14.8"
"JIRA-HA-2019","7.77","4.43","5.14","13.95","7.74","7.72","6.59","7.35","13.08"
"JIRA-HA-2019","[3.75,9.43]","[4.3,7.29]","[5.17,8.35]","[14.48,23.04]","[10.13,14.89]","[7.22,12.11]","[0,4.27]","[7.08,11.76]","[11.06,19.71]"
"JIRA-RA-2019","4.9","4.18","4.44","13.94","8.16","6.33","0.83","6.63","12.82"
"JIRA-RA-2019","5.87","4.05","4.56","12.5","7.46","5.92","5.27","5.81","13.95"
"JIRA-RA-2019","[3.42,6.99]","[3.04,5.58]","[3.27,6.31]","[10.38,18.4]","[6.28,10.54]","[4.75,8.48]","[0,2.5]","[4.95,8.54]","[9.57,19.2]"
"MA-SZZ-2020","2.89","1.31","2.71","5.79","4.03","2.78","1.62","2.08","3.8"
"MA-SZZ-2020","3.03","1.49","2.98","6.58","4.76","3.03","10.16","2.61","4.67"
"MA-SZZ-2020","[2.47,3.42]","[1.08,1.54]","[2.3,3.22]","[4.82,6.95]","[3.38,4.77]","[2.32,3.24]","[0.51,4.07]","[1.71,2.5]","[3.11,4.63]"
"IND-JLMIV+R-2020","8.08","2.37","4.02","10.34","5.57","5.07","3.07","5.17","10.52"
"IND-JLMIV+R-2020","12.39","2.13","4.43","8.06","7.03","4.47","15.07","3.8","8.47"
"IND-JLMIV+R-2020","[6.32,11.35]","[2,2.79]","[3.42,5.3]","[9.01,12.25]","[4.42,7.1]","[4.24,5.97]","[0.96,7.53]","[4.47,5.99]","[9.03,12.22]"
