"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","382","6.6","3.3","9.8","9.7","11.6","2246.4","13.1","40.5"
"ECLIPSE-2007","453.3","6.7","3","7.7","8.3","15.5","3855.7","2.7","60.8"
"ECLIPSE-2007","[1.6,676]","[1.3,10.9]","[1.1,6.6]","[3.8,14.7]","[1.8,15.3]","[0.1,21.3]","[0,4479.2]","[10.4,14.9]","[4.4,75.9]"
"Metrics-Repo-2010","64.8","21.8","16.8","26.6","25.8","33.7","66.3","130.1","159.4"
"Metrics-Repo-2010","215.8","37.2","20.9","26.2","27.3","77.7","120.6","224.7","328.4"
"Metrics-Repo-2010","[33.2,204.6]","[15.3,36.4]","[12.4,24.1]","[21.2,35]","[19.6,33.7]","[21.3,70]","[39.9,100.7]","[84.7,207.8]","[100.6,293.4]"
"JIRA-HA-2019","25.4","14.5","8.6","45.9","19.1","17.7","278.1","155.1","142.1"
"JIRA-HA-2019","63.7","21.8","15.8","155","43","19.3","1050.6","660.2","481.8"
"JIRA-HA-2019","[14.2,64.4]","[9,22.6]","[5.3,17]","[18.8,171]","[11.1,48.3]","[12.8,24.8]","[63.4,1029.4]","[44.2,673]","[57.2,441.5]"
"JIRA-RA-2019","23.5","79.2","6.2","20.8","12.5","18.8","230.7","50.2","75"
"JIRA-RA-2019","49","330.3","15.4","28","15.3","26.1","1009.8","101.3","112.2"
"JIRA-RA-2019","[14,50.1]","[22.4,248.3]","[3.5,15.2]","[14,31.8]","[9.3,20.9]","[13.3,31.8]","[62.7,887.9]","[29.7,100.6]","[50.2,132.7]"
"MA-SZZ-2020","23.6","11.2","5.6","21.8","16.1","16","37.2","34.5","80.9"
"MA-SZZ-2020","33","36.3","11.1","27.9","19.6","22.7","137.6","130.5","299.5"
"MA-SZZ-2020","[19.6,28.8]","[7.9,20]","[4.6,8.2]","[18.6,26.2]","[13.7,18.8]","[13.5,20]","[21.7,64.9]","[24.1,76.7]","[53.3,150.6]"
"IND-JLMIV+R-2020","18.4","2.3","3.9","17.4","13.2","10.7","21.9","9.5","28.2"
"IND-JLMIV+R-2020","93.2","5.2","19","59.7","64.1","12.7","63.8","30.1","77"
"IND-JLMIV+R-2020","[8.8,55.8]","[1.7,4.3]","[1.9,11.6]","[10.9,41.5]","[6.5,50.3]","[8.5,13.4]","[12.3,38.2]","[6.2,24.1]","[19.6,60.8]"
