"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","14.82","1.75","3.26","9.84","9.75","6.18","108.33","2.73","8.23"
"ECLIPSE-2007","12.69","1.77","2.96","7.69","8.33","8.19","166.46","0.58","8.69"
"ECLIPSE-2007","[0.73,23.03]","[0.33,2.88]","[1.08,5.11]","[3.76,14.75]","[1.82,15.28]","[0.04,11.33]","[0,208.33]","[2.18,3.11]","[2.7,13.41]"
"Metrics-Repo-2010","9.97","6.18","16.81","26.6","25.81","11.15","35.82","12.17","32.85"
"Metrics-Repo-2010","9.47","6.91","20.93","26.21","27.32","17.52","121.46","12.28","40.87"
"Metrics-Repo-2010","[7.92,12.84]","[4.57,8.44]","[12.3,24.08]","[21.2,34.85]","[19.3,33.87]","[7.99,18.93]","[17.37,99.68]","[9.4,15.78]","[24.83,47.46]"
"JIRA-HA-2019","13.62","4.66","8.58","45.86","19.06","13.52","69.27","5.05","28.85"
"JIRA-HA-2019","27.83","5.83","15.79","154.98","43.04","14.81","200.14","5.26","65.02"
"JIRA-HA-2019","[8.34,30.26]","[3.09,6.66]","[5.25,17.38]","[18.78,170.99]","[11.17,47.81]","[9.73,19.02]","[32.14,235.81]","[3.7,6.86]","[17.01,69.3]"
"JIRA-RA-2019","9.29","7.84","6.19","20.84","12.53","12.96","48.19","3.92","17.7"
"JIRA-RA-2019","10.7","15.34","15.45","28.05","15.28","16","97.46","5.02","20.22"
"JIRA-RA-2019","[6.93,14.16]","[4.36,13.95]","[3.46,15.35]","[13.92,32.46]","[9.3,20.82]","[9.52,20.91]","[27.46,93.03]","[2.75,6]","[13.28,27.18]"
"MA-SZZ-2020","14.24","4.12","5.62","21.75","16.06","12.06","12.87","6.07","17.93"
"MA-SZZ-2020","16.66","9.56","11.14","27.93","19.58","16.16","41.58","7.84","24.58"
"MA-SZZ-2020","[12.03,16.73]","[3.12,5.97]","[4.57,8.24]","[18.63,26.32]","[13.68,18.81]","[10.11,14.58]","[8.52,21.43]","[5.19,7.35]","[14.81,22.29]"
"IND-JLMIV+R-2020","8.68","0.99","3.89","17.37","13.25","9.11","15.28","2.64","11.59"
"IND-JLMIV+R-2020","15.26","1.64","19.01","59.71","64.12","10.37","41.57","3.19","14.71"
"IND-JLMIV+R-2020","[6.85,14.38]","[0.77,1.5]","[1.9,11.56]","[10.89,41.47]","[6.55,45.18]","[7.25,11.32]","[8.53,25.36]","[2.22,3.57]","[9.36,15.13]"
