"Dataset","F1","AUC","ER","RI","AP","RR","Popt","ACC"
"Metrics-Repo-2010","59.06","20.16","24.69","31.54","18.25","61.92","14.39","15.22"
"Metrics-Repo-2010","125.11","45.4","48.94","54.74","30.41","191.61","19.01","25.61"
"Metrics-Repo-2010","30.07","10.38","13.2","18.54","10.95","22.53","9.57","9.21"
"Metrics-Repo-2010","118","43.66","45.74","54.86","30.08","145.38","21.87","26.36"
"JIRA-HA-2019","7.97","2.33","3.59","9.68","4.42","46.18","88.59","58.77"
"JIRA-HA-2019","5.78","2.26","2.35","5.29","4","156.37","254.47","200.82"
"JIRA-HA-2019","6.13","1.7","2.78","7.66","3.24","7.41","39.46","18.83"
"JIRA-HA-2019","10.26","3.24","4.38","11.28","5.82","133.09","307.86","202.13"
"JIRA-RA-2019","6.15","2.1","2.85","6.41","3.77","77.07","17.28","24.54"
"JIRA-RA-2019","6.35","1.67","2.73","4.87","2.99","278.36","35.96","34.24"
"JIRA-RA-2019","4.53","1.67","2.01","4.96","2.93","8.52","9.07","15.34"
"JIRA-RA-2019","9.32","2.88","3.95","8.41","5.05","219.96","36.79","40.66"
"MA-SZZ-2020","14.48","63.95","9.06","11.52","18.1","34.42","32.61","19.9"
"MA-SZZ-2020","28.14","408.17","20.03","18.07","17.03","49.44","58.9","45.13"
"MA-SZZ-2020","9.77","4.16","4.82","7.7","14.05","22.5","20.69","11.65"
"MA-SZZ-2020","34.92","300.7","17.15","18.37","24.16","52.76","56.94","40.39"
