"Dataset","F1","AUC","ER","RI","MCC","AP","RR","Popt","ACC"
"ECLIPSE-2007","5.83","2.09","1.97","4.53","4.19","6.47","117.33","1.41","3.02"
"ECLIPSE-2007","2.92","2.51","1.29","2.83","1.92","1.79","146.97","1.36","1.42"
"ECLIPSE-2007","[2.99,7.78]","[0.56,4.98]","[0.49,2.74]","[1.27,6.22]","[2.15,5.45]","[5.09,8.49]","[0,282.18]","[0.37,2.27]","[2.15,3.86]"
"Metrics-Repo-2010","41804507819351.4","16.17","19.48","27.08","30.2","41.97","101.63","34.93","42.09"
"Metrics-Repo-2010","315617112683501","23.69","26.66","34.11","47.13","153.62","305.65","66.41","139.91"
"Metrics-Repo-2010","[61.1,292631554734980]","[11.7,25.75]","[14.48,28.79]","[20.25,38.25]","[21.92,50.86]","[19.3,118.88]","[48.98,235.97]","[23.19,58.21]","[18.49,110.09]"
"JIRA-HA-2019","14.63","10.12","6.89","16.63","10.34","23.66","381.27","11.44","7.17"
"JIRA-HA-2019","12.65","25.68","7.41","15.27","9.96","49.18","1270.66","10.31","8.01"
"JIRA-HA-2019","[11.3,19.59]","[5.62,27.03]","[5.03,9.73]","[12.66,22.64]","[7.62,13.75]","[13.97,58.52]","[149.13,1369.72]","[8.25,14.97]","[5.33,10.39]"
"JIRA-RA-2019","24.05","11.01","10.97","42.74","13.26","23.79","123.39","15.38","12.06"
"JIRA-RA-2019","47.28","22.72","22.11","134.78","17.9","56.92","219.62","13.63","26.21"
"JIRA-RA-2019","[14.37,50.73]","[6.68,22.08]","[6.57,23]","[18.42,130.31]","[9.29,20.64]","[13.43,59.09]","[72.18,238.93]","[11.78,20.14]","[7.23,25.59]"
"MA-SZZ-2020","223.66","65.88","39.7","262.39","99.14","27.17","144.57","22.81","21.28"
"MA-SZZ-2020","2955.48","770.16","485.42","3465.61","1252.53","118.22","815.98","67.66","54.56"
"MA-SZZ-2020","[14.57,1052.78]","[10.96,337.63]","[5.34,210.86]","[15.17,1464.8]","[9.92,455.38]","[16.11,53.09]","[77.72,341.69]","[16.53,37.18]","[16.55,36.44]"
"IND-JLMIV+R-2020","475.71","96.51","58.29","170.74","84.97","98.15","489.22","70.35","40.99"
"IND-JLMIV+R-2020","7364.11","890.27","573.02","1913.41","848.62","406.17","3411.76","284.17","127.47"
"IND-JLMIV+R-2020","[40.4,2194.73]","[38.9,307.15]","[20.99,195.35]","[50.56,621.87]","[31.52,314.74]","[66.97,175.64]","[231.52,1218.39]","[46.87,117.22]","[30.61,62.11]"
